Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 305671 to 305671
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 305671 to run 305671  lasting from Fri Aug  5 16:44:02 2016 UTC to Fri Aug  5 19:33:15 2016 UTC
Event Veto ['NoiseBurst'], Fri Aug  5 17:46:50 2016 UTC-Fri Aug  5 17:46:50 2016 UTC (0.010 )  Time stamp start 1470419210983089635 end 1470419210972862035  Run 305671, LB 69, lumi 97.44
Event Veto ['NoiseBurst'], Fri Aug  5 17:46:53 2016 UTC-Fri Aug  5 17:46:53 2016 UTC (0.010 )  Time stamp start 1470419213502514810 end 1470419213492514435  Run 305671, LB 69, lumi 95.28
Event Veto ['MiniNoiseBurst'], Fri Aug  5 17:47:52 2016 UTC-Fri Aug  5 17:47:52 2016 UTC (0.001 )  Time stamp start 1470419272341838525 end 1470419272340838525  Run 305671, LB 70, lumi 9.51
Event Veto ['MiniNoiseBurst'], Fri Aug  5 17:48:09 2016 UTC-Fri Aug  5 17:48:09 2016 UTC (0.001 )  Time stamp start 1470419289818865445 end 1470419289817865145  Run 305671, LB 70, lumi 9.51
Event Veto ['MiniNoiseBurst'], Fri Aug  5 17:48:26 2016 UTC-Fri Aug  5 17:48:26 2016 UTC (0.001 )  Time stamp start 1470419306705075510 end 1470419306704075510  Run 305671, LB 71, lumi 9.52
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Aug  5 17:48:30 2016 UTC-Fri Aug  5 17:48:30 2016 UTC (0.001 )  Time stamp start 1470419310588548645 end 1470419310587548645  Run 305671, LB 71, lumi 9.52
Event Veto ['MiniNoiseBurst'], Fri Aug  5 17:49:01 2016 UTC-Fri Aug  5 17:49:01 2016 UTC (0.001 )  Time stamp start 1470419341422000505 end 1470419341421000255  Run 305671, LB 71, lumi 9.52
Event Veto ['MiniNoiseBurst'], Fri Aug  5 17:49:10 2016 UTC-Fri Aug  5 17:49:10 2016 UTC (0.001 )  Time stamp start 1470419350618448390 end 1470419350617448390  Run 305671, LB 71, lumi 9.52
Event Veto ['MiniNoiseBurst'], Fri Aug  5 17:49:34 2016 UTC-Fri Aug  5 17:49:34 2016 UTC (0.001 )  Time stamp start 1470419374079663255 end 1470419374078663005  Run 305671, LB 72, lumi 9.52
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Aug  5 17:49:52 2016 UTC-Fri Aug  5 17:49:52 2016 UTC (0.001 )  Time stamp start 1470419392714482620 end 1470419392713482620  Run 305671, LB 72, lumi 9.51
Event Veto ['NoiseBurst'], Fri Aug  5 17:50:20 2016 UTC-Fri Aug  5 17:50:20 2016 UTC (0.010 )  Time stamp start 1470419420673167940 end 1470419420663167540  Run 305671, LB 72, lumi 95.15
Event Veto ['MiniNoiseBurst'], Fri Aug  5 17:50:22 2016 UTC-Fri Aug  5 17:50:22 2016 UTC (0.001 )  Time stamp start 1470419422521269225 end 1470419422520269225  Run 305671, LB 73, lumi 9.50
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Aug  5 17:50:54 2016 UTC-Fri Aug  5 17:50:54 2016 UTC (0.001 )  Time stamp start 1470419454364611530 end 1470419454363611530  Run 305671, LB 73, lumi 9.50
Event Veto ['MiniNoiseBurst'], Fri Aug  5 17:51:10 2016 UTC-Fri Aug  5 17:51:10 2016 UTC (0.001 )  Time stamp start 1470419470185087150 end 1470419470184086775  Run 305671, LB 73, lumi 9.50
Event Veto ['MiniNoiseBurst'], Fri Aug  5 17:51:39 2016 UTC-Fri Aug  5 17:51:39 2016 UTC (0.001 )  Time stamp start 1470419499010051840 end 1470419499009051315  Run 305671, LB 74, lumi 9.30
Event Veto ['MiniNoiseBurst'], Fri Aug  5 17:52:17 2016 UTC-Fri Aug  5 17:52:17 2016 UTC (0.001 )  Time stamp start 1470419537292532335 end 1470419537291532335  Run 305671, LB 74, lumi 9.30
Event Veto ['MiniNoiseBurst'], Fri Aug  5 17:52:24 2016 UTC-Fri Aug  5 17:52:24 2016 UTC (0.001 )  Time stamp start 1470419544684644395 end 1470419544683644395  Run 305671, LB 75, lumi 9.03
Event Veto ['NoiseBurst'], Fri Aug  5 17:53:25 2016 UTC-Fri Aug  5 17:53:25 2016 UTC (0.010 )  Time stamp start 1470419605557389005 end 1470419605547388630  Run 305671, LB 76, lumi 94.67
Event Veto ['MiniNoiseBurst'], Fri Aug  5 17:53:57 2016 UTC-Fri Aug  5 17:53:57 2016 UTC (0.001 )  Time stamp start 1470419637898722910 end 1470419637897722390  Run 305671, LB 76, lumi 9.47
Event Veto ['NoiseBurst'], Fri Aug  5 17:54:16 2016 UTC-Fri Aug  5 17:54:16 2016 UTC (0.010 )  Time stamp start 1470419656501352430 end 1470419656491351805  Run 305671, LB 76, lumi 94.67
Event Veto ['MiniNoiseBurst'], Fri Aug  5 17:54:30 2016 UTC-Fri Aug  5 17:54:30 2016 UTC (0.001 )  Time stamp start 1470419670335140030 end 1470419670334139780  Run 305671, LB 77, lumi 9.46
Event Veto ['NoiseBurst'], Fri Aug  5 17:54:54 2016 UTC-Fri Aug  5 17:54:54 2016 UTC (0.010 )  Time stamp start 1470419694065634355 end 1470419694055458775  Run 305671, LB 77, lumi 96.24
Event Veto ['MiniNoiseBurst'], Fri Aug  5 17:55:30 2016 UTC-Fri Aug  5 17:55:30 2016 UTC (0.001 )  Time stamp start 1470419730290065935 end 1470419730289065560  Run 305671, LB 78, lumi 9.45
Event Veto ['MiniNoiseBurst'], Fri Aug  5 17:55:59 2016 UTC-Fri Aug  5 17:55:59 2016 UTC (0.001 )  Time stamp start 1470419759810506715 end 1470419759809506715  Run 305671, LB 78, lumi 9.45
Event Veto ['NoiseBurst'], Fri Aug  5 17:56:16 2016 UTC-Fri Aug  5 17:56:16 2016 UTC (0.010 )  Time stamp start 1470419776316273815 end 1470419776306273315  Run 305671, LB 79, lumi 94.37
Event Veto ['NoiseBurst'], Fri Aug  5 17:56:40 2016 UTC-Fri Aug  5 17:56:40 2016 UTC (0.010 )  Time stamp start 1470419800174521135 end 1470419800164436430  Run 305671, LB 79, lumi 95.17
Event Veto ['MiniNoiseBurst'], Fri Aug  5 17:57:29 2016 UTC-Fri Aug  5 17:57:29 2016 UTC (0.001 )  Time stamp start 1470419849701666075 end 1470419849700666075  Run 305671, LB 80, lumi 9.43
Event Veto ['NoiseBurst'], Fri Aug  5 17:58:06 2016 UTC-Fri Aug  5 17:58:06 2016 UTC (0.010 )  Time stamp start 1470419886173210400 end 1470419886163209900  Run 305671, LB 80, lumi 94.30
Event Veto ['MiniNoiseBurst'], Fri Aug  5 17:58:14 2016 UTC-Fri Aug  5 17:58:14 2016 UTC (0.001 )  Time stamp start 1470419894704255150 end 1470419894703255150  Run 305671, LB 81, lumi 9.42
Event Veto ['MiniNoiseBurst'], Fri Aug  5 17:58:29 2016 UTC-Fri Aug  5 17:58:29 2016 UTC (0.001 )  Time stamp start 1470419909835505925 end 1470419909834505925  Run 305671, LB 81, lumi 9.42
Event Veto ['MiniNoiseBurst'], Fri Aug  5 17:58:45 2016 UTC-Fri Aug  5 17:58:45 2016 UTC (0.001 )  Time stamp start 1470419925256570045 end 1470419925255569525  Run 305671, LB 81, lumi 9.43
