Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 306714 to 306714
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 306714 to run 306714  lasting from Sat Aug 20 17:54:07 2016 UTC to Sun Aug 21 04:37:18 2016 UTC
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:51:05 2016 UTC-Sat Aug 20 21:51:05 2016 UTC (0.010 )  Time stamp start 1471729865668512090 end 1471729865658512090  Run 306714, LB 242, lumi 67.22
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:51:13 2016 UTC-Sat Aug 20 21:51:13 2016 UTC (0.010 )  Time stamp start 1471729873312890780 end 1471729873302890780  Run 306714, LB 242, lumi 67.22
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:51:20 2016 UTC-Sat Aug 20 21:51:20 2016 UTC (0.010 )  Time stamp start 1471729880985988400 end 1471729880975988400  Run 306714, LB 243, lumi 70.25
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:51:28 2016 UTC-Sat Aug 20 21:51:28 2016 UTC (0.010 )  Time stamp start 1471729888546585500 end 1471729888536585500  Run 306714, LB 243, lumi 70.25
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:51:42 2016 UTC-Sat Aug 20 21:51:43 2016 UTC (0.010 )  Time stamp start 1471729903000878735 end 1471729902990878735  Run 306714, LB 243, lumi 70.25
Event Veto ['NoiseBurst'], Sat Aug 20 21:51:46 2016 UTC-Sat Aug 20 21:51:46 2016 UTC (0.010 )  Time stamp start 1471729906923525415 end 1471729906913505305  Run 306714, LB 243, lumi 70.39
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:51:49 2016 UTC-Sat Aug 20 21:51:49 2016 UTC (0.013 )  Time stamp start 1471729909898289660 end 1471729909885421875  Run 306714, LB 243, lumi 90.39
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:52:04 2016 UTC-Sat Aug 20 21:52:04 2016 UTC (0.010 )  Time stamp start 1471729924018370855 end 1471729924008370855  Run 306714, LB 243, lumi 70.25
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:52:18 2016 UTC-Sat Aug 20 21:52:18 2016 UTC (0.010 )  Time stamp start 1471729938883478845 end 1471729938873478845  Run 306714, LB 243, lumi 70.25
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:52:33 2016 UTC-Sat Aug 20 21:52:33 2016 UTC (0.010 )  Time stamp start 1471729953627480140 end 1471729953617479115  Run 306714, LB 244, lumi 63.09
