Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 337404 to 337404
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 337404 to run 337404  lasting from Sat Oct  7 05:50:22 2017 UTC to Sat Oct  7 11:12:24 2017 UTC
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:33:08 2017 UTC-Sat Oct  7 07:33:08 2017 UTC (0.001 )  Time stamp start 1507361588313624840 end 1507361588312624540  Run 337404, LB 114, lumi 14.73
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:33:10 2017 UTC-Sat Oct  7 07:33:10 2017 UTC (0.001 )  Time stamp start 1507361590429450140 end 1507361590428448970  Run 337404, LB 115, lumi 14.76
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:33:13 2017 UTC-Sat Oct  7 07:33:13 2017 UTC (0.001 )  Time stamp start 1507361593716489690 end 1507361593715488265  Run 337404, LB 115, lumi 14.76
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:33:16 2017 UTC-Sat Oct  7 07:33:16 2017 UTC (0.001 )  Time stamp start 1507361596106667980 end 1507361596105667385  Run 337404, LB 115, lumi 14.75
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:33:19 2017 UTC-Sat Oct  7 07:33:19 2017 UTC (0.001 )  Time stamp start 1507361599109424845 end 1507361599108423575  Run 337404, LB 115, lumi 14.76
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:33:21 2017 UTC-Sat Oct  7 07:33:21 2017 UTC (0.001 )  Time stamp start 1507361601831390430 end 1507361601830389685  Run 337404, LB 115, lumi 14.75
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sat Oct  7 07:33:24 2017 UTC-Sat Oct  7 07:33:24 2017 UTC (0.001 )  Time stamp start 1507361604700247380 end 1507361604699247380  Run 337404, LB 115, lumi 14.74
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:33:27 2017 UTC-Sat Oct  7 07:33:27 2017 UTC (0.001 )  Time stamp start 1507361607840349605 end 1507361607839349310  Run 337404, LB 115, lumi 14.75
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:33:32 2017 UTC-Sat Oct  7 07:33:32 2017 UTC (0.001 )  Time stamp start 1507361612393565390 end 1507361612392564515  Run 337404, LB 115, lumi 14.76
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:33:36 2017 UTC-Sat Oct  7 07:33:36 2017 UTC (0.001 )  Time stamp start 1507361616242308780 end 1507361616241307580  Run 337404, LB 115, lumi 14.76
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:33:38 2017 UTC-Sat Oct  7 07:33:38 2017 UTC (0.001 )  Time stamp start 1507361618833068535 end 1507361618832067785  Run 337404, LB 115, lumi 14.75
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:33:50 2017 UTC-Sat Oct  7 07:33:50 2017 UTC (0.001 )  Time stamp start 1507361630710367035 end 1507361630709367035  Run 337404, LB 115, lumi 14.74
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:33:58 2017 UTC-Sat Oct  7 07:33:58 2017 UTC (0.001 )  Time stamp start 1507361638054234225 end 1507361638053234225  Run 337404, LB 115, lumi 14.74
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:34:05 2017 UTC-Sat Oct  7 07:34:05 2017 UTC (0.001 )  Time stamp start 1507361645102890475 end 1507361645101890475  Run 337404, LB 115, lumi 14.74
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:34:35 2017 UTC-Sat Oct  7 07:34:35 2017 UTC (0.001 )  Time stamp start 1507361675904859050 end 1507361675903859050  Run 337404, LB 116, lumi 14.84
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:35:31 2017 UTC-Sat Oct  7 07:35:31 2017 UTC (0.001 )  Time stamp start 1507361731639855930 end 1507361731638855930  Run 337404, LB 117, lumi 14.92
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:36:26 2017 UTC-Sat Oct  7 07:36:26 2017 UTC (0.001 )  Time stamp start 1507361786398749700 end 1507361786397749700  Run 337404, LB 118, lumi 15.00
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:37:41 2017 UTC-Sat Oct  7 07:37:41 2017 UTC (0.001 )  Time stamp start 1507361861496549760 end 1507361861495549760  Run 337404, LB 119, lumi 15.06
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:37:46 2017 UTC-Sat Oct  7 07:37:46 2017 UTC (0.001 )  Time stamp start 1507361866677380550 end 1507361866676380550  Run 337404, LB 119, lumi 15.06
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:39:07 2017 UTC-Sat Oct  7 07:39:07 2017 UTC (0.001 )  Time stamp start 1507361947289512140 end 1507361947288512140  Run 337404, LB 121, lumi 15.23
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:39:45 2017 UTC-Sat Oct  7 07:39:45 2017 UTC (0.001 )  Time stamp start 1507361985718823950 end 1507361985717823950  Run 337404, LB 122, lumi 15.29
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:39:53 2017 UTC-Sat Oct  7 07:39:53 2017 UTC (0.001 )  Time stamp start 1507361993749428770 end 1507361993748428770  Run 337404, LB 122, lumi 15.29
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:40:13 2017 UTC-Sat Oct  7 07:40:13 2017 UTC (0.001 )  Time stamp start 1507362013048981575 end 1507362013047981575  Run 337404, LB 122, lumi 15.29
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:40:18 2017 UTC-Sat Oct  7 07:40:18 2017 UTC (0.001 )  Time stamp start 1507362018840248495 end 1507362018839248495  Run 337404, LB 122, lumi 15.29
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:40:33 2017 UTC-Sat Oct  7 07:40:33 2017 UTC (0.001 )  Time stamp start 1507362033413486270 end 1507362033412486270  Run 337404, LB 122, lumi 15.29
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:40:52 2017 UTC-Sat Oct  7 07:40:52 2017 UTC (0.001 )  Time stamp start 1507362052644846110 end 1507362052643846110  Run 337404, LB 123, lumi 15.31
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:41:04 2017 UTC-Sat Oct  7 07:41:04 2017 UTC (0.001 )  Time stamp start 1507362064211088240 end 1507362064210088240  Run 337404, LB 123, lumi 15.31
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:41:08 2017 UTC-Sat Oct  7 07:41:08 2017 UTC (0.001 )  Time stamp start 1507362068065116095 end 1507362068064116095  Run 337404, LB 123, lumi 15.31
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:41:15 2017 UTC-Sat Oct  7 07:41:15 2017 UTC (0.001 )  Time stamp start 1507362075873633560 end 1507362075872633560  Run 337404, LB 123, lumi 15.31
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:41:56 2017 UTC-Sat Oct  7 07:41:56 2017 UTC (0.001 )  Time stamp start 1507362116021400860 end 1507362116020400860  Run 337404, LB 125, lumi 15.37
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:42:00 2017 UTC-Sat Oct  7 07:42:00 2017 UTC (0.001 )  Time stamp start 1507362120298396345 end 1507362120297396345  Run 337404, LB 125, lumi 15.37
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:42:45 2017 UTC-Sat Oct  7 07:42:45 2017 UTC (0.001 )  Time stamp start 1507362165655487505 end 1507362165654487505  Run 337404, LB 125, lumi 15.37
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:42:50 2017 UTC-Sat Oct  7 07:42:50 2017 UTC (0.001 )  Time stamp start 1507362170973939490 end 1507362170972939490  Run 337404, LB 126, lumi 15.37
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:42:51 2017 UTC-Sat Oct  7 07:42:51 2017 UTC (0.001 )  Time stamp start 1507362171092788445 end 1507362171091788445  Run 337404, LB 126, lumi 15.37
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:42:52 2017 UTC-Sat Oct  7 07:42:52 2017 UTC (0.001 )  Time stamp start 1507362172948275165 end 1507362172947275165  Run 337404, LB 126, lumi 15.37
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:43:28 2017 UTC-Sat Oct  7 07:43:28 2017 UTC (0.001 )  Time stamp start 1507362208264639840 end 1507362208263639840  Run 337404, LB 126, lumi 15.37
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:43:36 2017 UTC-Sat Oct  7 07:43:36 2017 UTC (0.001 )  Time stamp start 1507362216306949400 end 1507362216305949400  Run 337404, LB 126, lumi 15.37
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:43:55 2017 UTC-Sat Oct  7 07:43:55 2017 UTC (0.001 )  Time stamp start 1507362235181481060 end 1507362235180480260  Run 337404, LB 127, lumi 15.50
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:43:59 2017 UTC-Sat Oct  7 07:43:59 2017 UTC (0.001 )  Time stamp start 1507362239353162985 end 1507362239352162985  Run 337404, LB 127, lumi 15.49
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:44:01 2017 UTC-Sat Oct  7 07:44:01 2017 UTC (0.001 )  Time stamp start 1507362241203845740 end 1507362241202845615  Run 337404, LB 127, lumi 15.49
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sat Oct  7 07:44:03 2017 UTC-Sat Oct  7 07:44:03 2017 UTC (0.001 )  Time stamp start 1507362243583019560 end 1507362243582019435  Run 337404, LB 127, lumi 15.49
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:44:07 2017 UTC-Sat Oct  7 07:44:07 2017 UTC (0.001 )  Time stamp start 1507362247080159900 end 1507362247079159405  Run 337404, LB 127, lumi 15.50
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:44:10 2017 UTC-Sat Oct  7 07:44:10 2017 UTC (0.001 )  Time stamp start 1507362250291455565 end 1507362250290455270  Run 337404, LB 127, lumi 15.49
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:44:13 2017 UTC-Sat Oct  7 07:44:13 2017 UTC (0.001 )  Time stamp start 1507362253584401930 end 1507362253583401630  Run 337404, LB 127, lumi 15.49
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:44:15 2017 UTC-Sat Oct  7 07:44:15 2017 UTC (0.001 )  Time stamp start 1507362255887628765 end 1507362255886628765  Run 337404, LB 127, lumi 15.49
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:44:24 2017 UTC-Sat Oct  7 07:44:24 2017 UTC (0.001 )  Time stamp start 1507362264574042060 end 1507362264573042060  Run 337404, LB 127, lumi 15.49
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:44:29 2017 UTC-Sat Oct  7 07:44:29 2017 UTC (0.001 )  Time stamp start 1507362269605541555 end 1507362269604541430  Run 337404, LB 127, lumi 15.49
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:44:33 2017 UTC-Sat Oct  7 07:44:33 2017 UTC (0.001 )  Time stamp start 1507362273444640935 end 1507362273443640435  Run 337404, LB 127, lumi 15.50
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:44:35 2017 UTC-Sat Oct  7 07:44:35 2017 UTC (0.001 )  Time stamp start 1507362275577337150 end 1507362275576337150  Run 337404, LB 127, lumi 15.49
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:44:37 2017 UTC-Sat Oct  7 07:44:37 2017 UTC (0.001 )  Time stamp start 1507362277643563580 end 1507362277642562780  Run 337404, LB 127, lumi 15.50
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:44:40 2017 UTC-Sat Oct  7 07:44:40 2017 UTC (0.001 )  Time stamp start 1507362280294306285 end 1507362280293305985  Run 337404, LB 127, lumi 15.49
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:44:43 2017 UTC-Sat Oct  7 07:44:43 2017 UTC (0.001 )  Time stamp start 1507362283387679390 end 1507362283386679015  Run 337404, LB 127, lumi 15.49
