Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 360209 to 360209
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 360209 to run 360209  lasting from Fri Sep  7 09:39:12 2018 UTC to Fri Sep  7 14:52:50 2018 UTC
Event Veto ['NoiseBurst'], Fri Sep  7 11:06:18 2018 UTC-Fri Sep  7 11:06:18 2018 UTC (0.001 )  Time stamp start 1536318378895290360 end 1536318378894289365  Run 360209, LB 91, lumi 16.29
Event Veto ['NoiseBurst'], Fri Sep  7 11:06:21 2018 UTC-Fri Sep  7 11:06:21 2018 UTC (0.001 )  Time stamp start 1536318381763413535 end 1536318381762412510  Run 360209, LB 91, lumi 16.29
Event Veto ['NoiseBurst'], Fri Sep  7 11:07:26 2018 UTC-Fri Sep  7 11:07:26 2018 UTC (0.001 )  Time stamp start 1536318446122298630 end 1536318446121298130  Run 360209, LB 92, lumi 16.66
Event Veto ['NoiseBurst'], Fri Sep  7 11:12:06 2018 UTC-Fri Sep  7 11:12:06 2018 UTC (0.001 )  Time stamp start 1536318726623451445 end 1536318726622450820  Run 360209, LB 98, lumi 18.31
Event Veto ['NoiseBurst'], Fri Sep  7 11:12:56 2018 UTC-Fri Sep  7 11:12:56 2018 UTC (0.001 )  Time stamp start 1536318776851797170 end 1536318776850796550  Run 360209, LB 98, lumi 18.31
Event Veto ['NoiseBurst'], Fri Sep  7 11:13:39 2018 UTC-Fri Sep  7 11:13:39 2018 UTC (0.001 )  Time stamp start 1536318819537568535 end 1536318819536446075  Run 360209, LB 99, lumi 20.42
Event Veto ['NoiseBurst'], Fri Sep  7 11:13:39 2018 UTC-Fri Sep  7 11:13:39 2018 UTC (0.001 )  Time stamp start 1536318819540830370 end 1536318819539829595  Run 360209, LB 99, lumi 18.21
Event Veto ['MiniNoiseBurst'], Fri Sep  7 11:15:12 2018 UTC-Fri Sep  7 11:15:12 2018 UTC (0.001 )  Time stamp start 1536318912120638300 end 1536318912119638300  Run 360209, LB 101, lumi 18.16
Event Veto ['NoiseBurst'], Fri Sep  7 11:16:52 2018 UTC-Fri Sep  7 11:16:52 2018 UTC (0.001 )  Time stamp start 1536319012011769460 end 1536319012010642710  Run 360209, LB 102, lumi 20.34
Event Veto ['NoiseBurst'], Fri Sep  7 11:16:58 2018 UTC-Fri Sep  7 11:16:58 2018 UTC (0.001 )  Time stamp start 1536319018081915700 end 1536319018080915575  Run 360209, LB 102, lumi 18.06
Event Veto ['NoiseBurst'], Fri Sep  7 11:18:49 2018 UTC-Fri Sep  7 11:18:49 2018 UTC (0.001 )  Time stamp start 1536319129557520600 end 1536319129556470875  Run 360209, LB 105, lumi 18.85
Event Veto ['MiniNoiseBurst'], Fri Sep  7 11:19:44 2018 UTC-Fri Sep  7 11:19:44 2018 UTC (0.001 )  Time stamp start 1536319184027919015 end 1536319184026919015  Run 360209, LB 106, lumi 17.93
Event Veto ['NoiseBurst'], Fri Sep  7 11:20:48 2018 UTC-Fri Sep  7 11:20:48 2018 UTC (0.001 )  Time stamp start 1536319248896197575 end 1536319248895196700  Run 360209, LB 107, lumi 17.86
Event Veto ['MiniNoiseBurst'], Fri Sep  7 11:21:57 2018 UTC-Fri Sep  7 11:21:57 2018 UTC (0.001 )  Time stamp start 1536319317063390925 end 1536319317062390925  Run 360209, LB 108, lumi 17.77
Event Veto ['MiniNoiseBurst'], Fri Sep  7 11:25:15 2018 UTC-Fri Sep  7 11:25:15 2018 UTC (0.001 )  Time stamp start 1536319515556125720 end 1536319515555125720  Run 360209, LB 111, lumi 17.48
Event Veto ['MiniNoiseBurst'], Fri Sep  7 11:32:01 2018 UTC-Fri Sep  7 11:32:01 2018 UTC (0.001 )  Time stamp start 1536319921910768680 end 1536319921909768680  Run 360209, LB 151, lumi 16.79
Event Veto ['NoiseBurst'], Fri Sep  7 11:32:03 2018 UTC-Fri Sep  7 11:32:03 2018 UTC (0.001 )  Time stamp start 1536319923746624430 end 1536319923745623905  Run 360209, LB 151, lumi 16.79
Event Veto ['MiniNoiseBurst'], Fri Sep  7 11:32:36 2018 UTC-Fri Sep  7 11:32:36 2018 UTC (0.001 )  Time stamp start 1536319956437691650 end 1536319956436691650  Run 360209, LB 151, lumi 16.79
Event Veto ['NoiseBurst'], Fri Sep  7 11:32:43 2018 UTC-Fri Sep  7 11:32:43 2018 UTC (0.001 )  Time stamp start 1536319963038200455 end 1536319963036707375  Run 360209, LB 151, lumi 25.06
Event Veto ['MiniNoiseBurst'], Fri Sep  7 11:32:53 2018 UTC-Fri Sep  7 11:32:53 2018 UTC (0.001 )  Time stamp start 1536319973773283405 end 1536319973772283405  Run 360209, LB 151, lumi 16.79
