Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349114 to 349114
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349114 to run 349114  lasting from Sun Apr 29 02:02:34 2018 UTC to Sun Apr 29 13:41:54 2018 UTC
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:23:02 2018 UTC-Sun Apr 29 03:23:02 2018 UTC (0.001 )  Time stamp start 1524972182937209375 end 1524972182936209375  Run 349114, LB 87, lumi 10.76
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:23:18 2018 UTC-Sun Apr 29 03:23:18 2018 UTC (0.001 )  Time stamp start 1524972198557257165 end 1524972198556257165  Run 349114, LB 87, lumi 10.76
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:24:08 2018 UTC-Sun Apr 29 03:24:08 2018 UTC (0.001 )  Time stamp start 1524972248700609845 end 1524972248699609845  Run 349114, LB 88, lumi 10.73
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:24:24 2018 UTC-Sun Apr 29 03:24:24 2018 UTC (0.001 )  Time stamp start 1524972264100916210 end 1524972264099916210  Run 349114, LB 88, lumi 10.73
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:24:58 2018 UTC-Sun Apr 29 03:24:58 2018 UTC (0.001 )  Time stamp start 1524972298672845200 end 1524972298671845200  Run 349114, LB 89, lumi 10.75
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:25:12 2018 UTC-Sun Apr 29 03:25:12 2018 UTC (0.001 )  Time stamp start 1524972312218411570 end 1524972312217411570  Run 349114, LB 89, lumi 10.75
Event Veto ['NoiseBurst'], Sun Apr 29 03:25:36 2018 UTC-Sun Apr 29 03:25:36 2018 UTC (0.001 )  Time stamp start 1524972336425559315 end 1524972336424558690  Run 349114, LB 89, lumi 10.76
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Apr 29 03:26:14 2018 UTC-Sun Apr 29 03:26:14 2018 UTC (0.001 )  Time stamp start 1524972374398719160 end 1524972374397719160  Run 349114, LB 91, lumi 10.68
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:26:39 2018 UTC-Sun Apr 29 03:26:39 2018 UTC (0.001 )  Time stamp start 1524972399013676670 end 1524972399012676495  Run 349114, LB 91, lumi 10.68
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:35:28 2018 UTC-Sun Apr 29 03:35:28 2018 UTC (0.001 )  Time stamp start 1524972928353444265 end 1524972928352444265  Run 349114, LB 134, lumi 10.34
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:35:32 2018 UTC-Sun Apr 29 03:35:32 2018 UTC (0.001 )  Time stamp start 1524972932626177865 end 1524972932625177690  Run 349114, LB 134, lumi 10.34
Event Veto ['NoiseBurst'], Sun Apr 29 03:35:34 2018 UTC-Sun Apr 29 03:35:34 2018 UTC (0.004 )  Time stamp start 1524972934193006375 end 1524972934189328490  Run 349114, LB 134, lumi 38.04
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:36:05 2018 UTC-Sun Apr 29 03:36:05 2018 UTC (0.001 )  Time stamp start 1524972965879073225 end 1524972965878073225  Run 349114, LB 134, lumi 10.34
