Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 355261 to 355261
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 355261 to run 355261  lasting from Sun Jul  8 01:42:31 2018 UTC to Sun Jul  8 17:04:56 2018 UTC
Event Veto ['MiniNoiseBurst'], Sun Jul  8 02:42:27 2018 UTC-Sun Jul  8 02:42:27 2018 UTC (0.001 )  Time stamp start 1531017747130767845 end 1531017747129766920  Run 355261, LB 99, lumi 7.06
Event Veto ['MiniNoiseBurst'], Sun Jul  8 02:42:48 2018 UTC-Sun Jul  8 02:42:48 2018 UTC (0.001 )  Time stamp start 1531017768633802465 end 1531017768632802465  Run 355261, LB 99, lumi 7.06
Event Veto ['MiniNoiseBurst'], Sun Jul  8 02:43:21 2018 UTC-Sun Jul  8 02:43:21 2018 UTC (0.001 )  Time stamp start 1531017801455779535 end 1531017801454779535  Run 355261, LB 100, lumi 7.04
Event Veto ['MiniNoiseBurst'], Sun Jul  8 02:43:35 2018 UTC-Sun Jul  8 02:43:35 2018 UTC (0.001 )  Time stamp start 1531017815717836150 end 1531017815716836150  Run 355261, LB 100, lumi 7.04
Event Veto ['MiniNoiseBurst'], Sun Jul  8 02:43:41 2018 UTC-Sun Jul  8 02:43:41 2018 UTC (0.001 )  Time stamp start 1531017821416876320 end 1531017821415876320  Run 355261, LB 100, lumi 7.04
Event Veto ['MiniNoiseBurst'], Sun Jul  8 02:45:26 2018 UTC-Sun Jul  8 02:45:26 2018 UTC (0.001 )  Time stamp start 1531017926243221070 end 1531017926242220795  Run 355261, LB 102, lumi 7.02
Event Veto ['MiniNoiseBurst'], Sun Jul  8 02:46:10 2018 UTC-Sun Jul  8 02:46:10 2018 UTC (0.001 )  Time stamp start 1531017970201554710 end 1531017970200554710  Run 355261, LB 104, lumi 7.00
Event Veto ['MiniNoiseBurst'], Sun Jul  8 02:46:14 2018 UTC-Sun Jul  8 02:46:14 2018 UTC (0.001 )  Time stamp start 1531017974959145340 end 1531017974958145340  Run 355261, LB 104, lumi 7.00
Event Veto ['MiniNoiseBurst'], Sun Jul  8 02:46:53 2018 UTC-Sun Jul  8 02:46:53 2018 UTC (0.001 )  Time stamp start 1531018013939813195 end 1531018013938813070  Run 355261, LB 104, lumi 7.00
Event Veto ['MiniNoiseBurst'], Sun Jul  8 02:47:08 2018 UTC-Sun Jul  8 02:47:08 2018 UTC (0.001 )  Time stamp start 1531018028730173680 end 1531018028729173680  Run 355261, LB 105, lumi 6.99
Event Veto ['MiniNoiseBurst'], Sun Jul  8 02:48:22 2018 UTC-Sun Jul  8 02:48:22 2018 UTC (0.001 )  Time stamp start 1531018102633261550 end 1531018102632261025  Run 355261, LB 106, lumi 6.98
Event Veto ['MiniNoiseBurst'], Sun Jul  8 02:48:40 2018 UTC-Sun Jul  8 02:48:40 2018 UTC (0.001 )  Time stamp start 1531018120115457000 end 1531018120114457000  Run 355261, LB 106, lumi 6.98
Event Veto ['MiniNoiseBurst'], Sun Jul  8 02:49:42 2018 UTC-Sun Jul  8 02:49:42 2018 UTC (0.001 )  Time stamp start 1531018182034979860 end 1531018182033979860  Run 355261, LB 107, lumi 6.96
Event Veto ['MiniNoiseBurst'], Sun Jul  8 02:51:34 2018 UTC-Sun Jul  8 02:51:34 2018 UTC (0.001 )  Time stamp start 1531018294878822980 end 1531018294877822980  Run 355261, LB 109, lumi 6.93
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Jul  8 02:52:14 2018 UTC-Sun Jul  8 02:52:14 2018 UTC (0.001 )  Time stamp start 1531018334541194785 end 1531018334540194785  Run 355261, LB 110, lumi 6.92
Event Veto ['MiniNoiseBurst'], Sun Jul  8 02:52:23 2018 UTC-Sun Jul  8 02:52:23 2018 UTC (0.001 )  Time stamp start 1531018343028513910 end 1531018343027513910  Run 355261, LB 110, lumi 6.92
Event Veto ['MiniNoiseBurst'], Sun Jul  8 02:52:30 2018 UTC-Sun Jul  8 02:52:30 2018 UTC (0.001 )  Time stamp start 1531018350200604400 end 1531018350199365350  Run 355261, LB 110, lumi 8.57
Event Veto ['MiniNoiseBurst'], Sun Jul  8 02:52:46 2018 UTC-Sun Jul  8 02:52:46 2018 UTC (0.001 )  Time stamp start 1531018366193504410 end 1531018366192504135  Run 355261, LB 110, lumi 6.92
Event Veto ['MiniNoiseBurst'], Sun Jul  8 02:54:23 2018 UTC-Sun Jul  8 02:54:23 2018 UTC (0.001 )  Time stamp start 1531018463570373700 end 1531018463569373700  Run 355261, LB 112, lumi 6.88
Event Veto ['MiniNoiseBurst'], Sun Jul  8 02:55:04 2018 UTC-Sun Jul  8 02:55:04 2018 UTC (0.001 )  Time stamp start 1531018504355187630 end 1531018504354187630  Run 355261, LB 112, lumi 6.88
Event Veto ['MiniNoiseBurst'], Sun Jul  8 02:55:47 2018 UTC-Sun Jul  8 02:55:47 2018 UTC (0.001 )  Time stamp start 1531018547691940860 end 1531018547690939515  Run 355261, LB 113, lumi 6.88
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Jul  8 02:58:34 2018 UTC-Sun Jul  8 02:58:34 2018 UTC (0.001 )  Time stamp start 1531018714570156180 end 1531018714569156180  Run 355261, LB 116, lumi 6.83
Event Veto ['MiniNoiseBurst'], Sun Jul  8 02:58:56 2018 UTC-Sun Jul  8 02:58:56 2018 UTC (0.001 )  Time stamp start 1531018736032334360 end 1531018736031334360  Run 355261, LB 116, lumi 6.83
Event Veto ['MiniNoiseBurst'], Sun Jul  8 03:00:07 2018 UTC-Sun Jul  8 03:00:07 2018 UTC (0.001 )  Time stamp start 1531018807060148510 end 1531018807059148510  Run 355261, LB 118, lumi 6.80
Event Veto ['MiniNoiseBurst'], Sun Jul  8 03:00:24 2018 UTC-Sun Jul  8 03:00:24 2018 UTC (0.001 )  Time stamp start 1531018824083333325 end 1531018824082333325  Run 355261, LB 118, lumi 6.80
Event Veto ['MiniNoiseBurst'], Sun Jul  8 03:00:39 2018 UTC-Sun Jul  8 03:00:39 2018 UTC (0.001 )  Time stamp start 1531018839045023610 end 1531018839044023610  Run 355261, LB 118, lumi 6.80
Event Veto ['MiniNoiseBurst'], Sun Jul  8 03:01:01 2018 UTC-Sun Jul  8 03:01:01 2018 UTC (0.001 )  Time stamp start 1531018861569353285 end 1531018861568353285  Run 355261, LB 118, lumi 6.80
Event Veto ['MiniNoiseBurst'], Sun Jul  8 03:01:38 2018 UTC-Sun Jul  8 03:01:38 2018 UTC (0.001 )  Time stamp start 1531018898193981020 end 1531018898192981020  Run 355261, LB 119, lumi 6.79
Event Veto ['MiniNoiseBurst'], Sun Jul  8 03:02:22 2018 UTC-Sun Jul  8 03:02:22 2018 UTC (0.001 )  Time stamp start 1531018942930329835 end 1531018942929329835  Run 355261, LB 120, lumi 6.78
Event Veto ['MiniNoiseBurst'], Sun Jul  8 03:03:11 2018 UTC-Sun Jul  8 03:03:11 2018 UTC (0.001 )  Time stamp start 1531018991015573730 end 1531018991014573730  Run 355261, LB 121, lumi 6.77
Event Veto ['MiniNoiseBurst'], Sun Jul  8 03:05:17 2018 UTC-Sun Jul  8 03:05:17 2018 UTC (0.001 )  Time stamp start 1531019117180030720 end 1531019117179030720  Run 355261, LB 123, lumi 6.68
Event Veto ['DataCorruption'], Sun Jul  8 03:06:23 2018 UTC-Sun Jul  8 03:06:28 2018 UTC (5.272 )  Time stamp start 1531019188861386445 end 1531019183589381920  Run 355261, LB 124, lumi 34737.38
Event Veto ['MiniNoiseBurst'], Sun Jul  8 03:09:15 2018 UTC-Sun Jul  8 03:09:15 2018 UTC (0.001 )  Time stamp start 1531019355472731315 end 1531019355471731315  Run 355261, LB 127, lumi 6.78
Event Veto ['MiniNoiseBurst'], Sun Jul  8 03:09:16 2018 UTC-Sun Jul  8 03:09:16 2018 UTC (0.001 )  Time stamp start 1531019356077906490 end 1531019356076906490  Run 355261, LB 127, lumi 6.78
Event Veto ['MiniNoiseBurst'], Sun Jul  8 03:09:29 2018 UTC-Sun Jul  8 03:09:29 2018 UTC (0.001 )  Time stamp start 1531019369282057955 end 1531019369281057955  Run 355261, LB 127, lumi 6.78
Event Veto ['MiniNoiseBurst'], Sun Jul  8 03:10:23 2018 UTC-Sun Jul  8 03:10:23 2018 UTC (0.001 )  Time stamp start 1531019423852217695 end 1531019423851217695  Run 355261, LB 128, lumi 6.76
Event Veto ['MiniNoiseBurst'], Sun Jul  8 03:13:09 2018 UTC-Sun Jul  8 03:13:09 2018 UTC (0.001 )  Time stamp start 1531019589398041190 end 1531019589397041190  Run 355261, LB 131, lumi 6.73
Event Veto ['MiniNoiseBurst'], Sun Jul  8 03:13:28 2018 UTC-Sun Jul  8 03:13:28 2018 UTC (0.001 )  Time stamp start 1531019608940028235 end 1531019608939028235  Run 355261, LB 131, lumi 6.73
Event Veto ['MiniNoiseBurst'], Sun Jul  8 03:14:53 2018 UTC-Sun Jul  8 03:14:53 2018 UTC (0.001 )  Time stamp start 1531019693324984450 end 1531019693323984450  Run 355261, LB 132, lumi 6.72
