Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 307601 to 307601
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 307601 to run 307601  lasting from Thu Sep  1 06:09:15 2016 UTC to Thu Sep  1 18:10:33 2016 UTC
Event Veto ['NoiseBurst'], Thu Sep  1 07:17:01 2016 UTC-Thu Sep  1 07:17:01 2016 UTC (0.010 )  Time stamp start 1472714221487866285 end 1472714221477496815  Run 307601, LB 74, lumi 106.58
Event Veto ['MiniNoiseBurst'], Thu Sep  1 07:17:03 2016 UTC-Thu Sep  1 07:17:03 2016 UTC (0.010 )  Time stamp start 1472714223203991605 end 1472714223193990480  Run 307601, LB 74, lumi 102.80
Event Veto ['MiniNoiseBurst'], Thu Sep  1 07:17:08 2016 UTC-Thu Sep  1 07:17:08 2016 UTC (0.010 )  Time stamp start 1472714228865740705 end 1472714228855740405  Run 307601, LB 74, lumi 102.79
Event Veto ['MiniNoiseBurst'], Thu Sep  1 07:17:09 2016 UTC-Thu Sep  1 07:17:09 2016 UTC (0.011 )  Time stamp start 1472714229477823315 end 1472714229467019130  Run 307601, LB 74, lumi 111.05
Event Veto ['MiniNoiseBurst'], Thu Sep  1 07:17:14 2016 UTC-Thu Sep  1 07:17:14 2016 UTC (0.010 )  Time stamp start 1472714234416134130 end 1472714234406134130  Run 307601, LB 74, lumi 102.78
Event Veto ['MiniNoiseBurst'], Thu Sep  1 07:17:16 2016 UTC-Thu Sep  1 07:17:16 2016 UTC (0.010 )  Time stamp start 1472714236127283795 end 1472714236117282425  Run 307601, LB 74, lumi 102.80
Event Veto ['MiniNoiseBurst'], Thu Sep  1 07:17:19 2016 UTC-Thu Sep  1 07:17:19 2016 UTC (0.010 )  Time stamp start 1472714239408462345 end 1472714239398460850  Run 307601, LB 75, lumi 102.71
Event Veto ['MiniNoiseBurst'], Thu Sep  1 07:17:22 2016 UTC-Thu Sep  1 07:17:22 2016 UTC (0.010 )  Time stamp start 1472714242637128075 end 1472714242627128075  Run 307601, LB 75, lumi 102.69
Event Veto ['MiniNoiseBurst'], Thu Sep  1 07:17:24 2016 UTC-Thu Sep  1 07:17:24 2016 UTC (0.010 )  Time stamp start 1472714244358750690 end 1472714244348750565  Run 307601, LB 75, lumi 102.69
Event Veto ['MiniNoiseBurst'], Thu Sep  1 07:17:28 2016 UTC-Thu Sep  1 07:17:28 2016 UTC (0.010 )  Time stamp start 1472714248543302430 end 1472714248533302430  Run 307601, LB 75, lumi 102.69
Event Veto ['NoiseBurst'], Thu Sep  1 07:17:32 2016 UTC-Thu Sep  1 07:17:32 2016 UTC (0.020 )  Time stamp start 1472714252275740880 end 1472714252256070025  Run 307601, LB 75, lumi 202.00
