Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 307569 to 307569
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 307569 to run 307569  lasting from Wed Aug 31 13:39:16 2016 UTC to Thu Sep  1 04:45:47 2016 UTC
Event Veto ['NoiseBurst'], Wed Aug 31 15:11:49 2016 UTC-Wed Aug 31 15:11:49 2016 UTC (0.010 )  Time stamp start 1472656309455656005 end 1472656309445387560  Run 307569, LB 99, lumi 115.03
Event Veto ['MiniNoiseBurst'], Wed Aug 31 15:11:52 2016 UTC-Wed Aug 31 15:11:52 2016 UTC (0.011 )  Time stamp start 1472656312202258630 end 1472656312191721190  Run 307569, LB 99, lumi 118.05
Event Veto ['MiniNoiseBurst'], Wed Aug 31 15:11:56 2016 UTC-Wed Aug 31 15:11:56 2016 UTC (0.018 )  Time stamp start 1472656316497517985 end 1472656316479846060  Run 307569, LB 99, lumi 197.97
Event Veto ['MiniNoiseBurst'], Wed Aug 31 15:12:00 2016 UTC-Wed Aug 31 15:12:00 2016 UTC (0.010 )  Time stamp start 1472656320805370505 end 1472656320795369455  Run 307569, LB 99, lumi 112.04
Event Veto ['MiniNoiseBurst'], Wed Aug 31 15:12:01 2016 UTC-Wed Aug 31 15:12:01 2016 UTC (0.010 )  Time stamp start 1472656321866023030 end 1472656321856023030  Run 307569, LB 99, lumi 112.03
Event Veto ['MiniNoiseBurst'], Wed Aug 31 15:12:09 2016 UTC-Wed Aug 31 15:12:09 2016 UTC (0.012 )  Time stamp start 1472656329415531660 end 1472656329403768265  Run 307569, LB 99, lumi 131.78
Event Veto ['MiniNoiseBurst'], Wed Aug 31 15:12:13 2016 UTC-Wed Aug 31 15:12:13 2016 UTC (0.029 )  Time stamp start 1472656333671803890 end 1472656333642981850  Run 307569, LB 99, lumi 322.88
Event Veto ['MiniNoiseBurst'], Wed Aug 31 15:12:17 2016 UTC-Wed Aug 31 15:12:17 2016 UTC (0.010 )  Time stamp start 1472656337968646840 end 1472656337958646370  Run 307569, LB 100, lumi 112.99
Event Veto ['MiniNoiseBurst'], Wed Aug 31 15:12:21 2016 UTC-Wed Aug 31 15:12:21 2016 UTC (0.017 )  Time stamp start 1472656341813664835 end 1472656341796229240  Run 307569, LB 100, lumi 196.99
Event Veto ['MiniNoiseBurst'], Wed Aug 31 15:12:25 2016 UTC-Wed Aug 31 15:12:25 2016 UTC (0.010 )  Time stamp start 1472656345313130955 end 1472656345303130430  Run 307569, LB 100, lumi 112.99
Event Veto ['MiniNoiseBurst'], Wed Aug 31 15:12:29 2016 UTC-Wed Aug 31 15:12:29 2016 UTC (0.019 )  Time stamp start 1472656349529715760 end 1472656349510742380  Run 307569, LB 100, lumi 214.37
Event Veto ['MiniNoiseBurst'], Wed Aug 31 15:12:33 2016 UTC-Wed Aug 31 15:12:33 2016 UTC (0.010 )  Time stamp start 1472656353769289135 end 1472656353759288735  Run 307569, LB 100, lumi 112.99
Event Veto ['MiniNoiseBurst'], Wed Aug 31 15:12:33 2016 UTC-Wed Aug 31 15:12:33 2016 UTC (0.010 )  Time stamp start 1472656353940857905 end 1472656353930857905  Run 307569, LB 100, lumi 112.98
