Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 335177 to 335177
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 335177 to run 335177  lasting from Sun Sep 10 21:20:14 2017 UTC to Mon Sep 11 16:38:32 2017 UTC
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:30:59 2017 UTC-Mon Sep 11 03:30:59 2017 UTC (0.001 )  Time stamp start 1505100659497805985 end 1505100659496805985  Run 335177, LB 376, lumi 10.20
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:31:00 2017 UTC-Mon Sep 11 03:31:00 2017 UTC (0.001 )  Time stamp start 1505100660884995125 end 1505100660883995000  Run 335177, LB 376, lumi 10.20
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:31:02 2017 UTC-Mon Sep 11 03:31:02 2017 UTC (0.001 )  Time stamp start 1505100662380591980 end 1505100662379591980  Run 335177, LB 376, lumi 10.20
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:31:03 2017 UTC-Mon Sep 11 03:31:03 2017 UTC (0.001 )  Time stamp start 1505100663705721320 end 1505100663704721320  Run 335177, LB 376, lumi 10.20
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:31:05 2017 UTC-Mon Sep 11 03:31:05 2017 UTC (0.001 )  Time stamp start 1505100665230870285 end 1505100665229870285  Run 335177, LB 376, lumi 10.20
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:31:06 2017 UTC-Mon Sep 11 03:31:06 2017 UTC (0.001 )  Time stamp start 1505100666657194380 end 1505100666656194085  Run 335177, LB 376, lumi 10.20
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:31:23 2017 UTC-Mon Sep 11 03:31:23 2017 UTC (0.001 )  Time stamp start 1505100683890676330 end 1505100683889676330  Run 335177, LB 377, lumi 10.20
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:31:25 2017 UTC-Mon Sep 11 03:31:25 2017 UTC (0.001 )  Time stamp start 1505100685111868170 end 1505100685110868170  Run 335177, LB 377, lumi 10.20
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:31:27 2017 UTC-Mon Sep 11 03:31:27 2017 UTC (0.001 )  Time stamp start 1505100687565524965 end 1505100687564523915  Run 335177, LB 377, lumi 10.21
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:31:28 2017 UTC-Mon Sep 11 03:31:28 2017 UTC (0.001 )  Time stamp start 1505100688826839515 end 1505100688825839215  Run 335177, LB 377, lumi 10.20
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:31:31 2017 UTC-Mon Sep 11 03:31:31 2017 UTC (0.001 )  Time stamp start 1505100691387250825 end 1505100691386250825  Run 335177, LB 377, lumi 10.20
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:32:26 2017 UTC-Mon Sep 11 03:32:26 2017 UTC (0.001 )  Time stamp start 1505100746962090990 end 1505100746961090990  Run 335177, LB 378, lumi 10.17
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:32:32 2017 UTC-Mon Sep 11 03:32:32 2017 UTC (0.001 )  Time stamp start 1505100752048124560 end 1505100752047124435  Run 335177, LB 378, lumi 10.17
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:32:33 2017 UTC-Mon Sep 11 03:32:33 2017 UTC (0.001 )  Time stamp start 1505100753253191435 end 1505100753252191435  Run 335177, LB 378, lumi 10.17
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:32:41 2017 UTC-Mon Sep 11 03:32:41 2017 UTC (0.001 )  Time stamp start 1505100761149098780 end 1505100761148098780  Run 335177, LB 378, lumi 10.17
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:32:42 2017 UTC-Mon Sep 11 03:32:42 2017 UTC (0.001 )  Time stamp start 1505100762393637925 end 1505100762392637800  Run 335177, LB 378, lumi 10.17
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:32:51 2017 UTC-Mon Sep 11 03:32:51 2017 UTC (0.001 )  Time stamp start 1505100771962581490 end 1505100771961581490  Run 335177, LB 378, lumi 10.17
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:32:53 2017 UTC-Mon Sep 11 03:32:53 2017 UTC (0.001 )  Time stamp start 1505100773223162960 end 1505100773222162265  Run 335177, LB 378, lumi 10.18
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:32:54 2017 UTC-Mon Sep 11 03:32:54 2017 UTC (0.001 )  Time stamp start 1505100774382840350 end 1505100774381840350  Run 335177, LB 378, lumi 10.17
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:32:56 2017 UTC-Mon Sep 11 03:32:56 2017 UTC (0.001 )  Time stamp start 1505100776451348365 end 1505100776450347965  Run 335177, LB 378, lumi 10.18
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:32:57 2017 UTC-Mon Sep 11 03:32:57 2017 UTC (0.001 )  Time stamp start 1505100777855799000 end 1505100777854798875  Run 335177, LB 378, lumi 10.17
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:33:36 2017 UTC-Mon Sep 11 03:33:36 2017 UTC (0.001 )  Time stamp start 1505100816634730170 end 1505100816633730045  Run 335177, LB 379, lumi 10.14
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:33:37 2017 UTC-Mon Sep 11 03:33:37 2017 UTC (0.001 )  Time stamp start 1505100817926691790 end 1505100817925691665  Run 335177, LB 379, lumi 10.14
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:33:39 2017 UTC-Mon Sep 11 03:33:39 2017 UTC (0.001 )  Time stamp start 1505100819100689380 end 1505100819099689380  Run 335177, LB 379, lumi 10.14
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:33:45 2017 UTC-Mon Sep 11 03:33:45 2017 UTC (0.001 )  Time stamp start 1505100825501735865 end 1505100825500735865  Run 335177, LB 379, lumi 10.14
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:33:46 2017 UTC-Mon Sep 11 03:33:46 2017 UTC (0.001 )  Time stamp start 1505100826443689125 end 1505100826442689125  Run 335177, LB 379, lumi 10.14
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:33:49 2017 UTC-Mon Sep 11 03:33:49 2017 UTC (0.001 )  Time stamp start 1505100829021905905 end 1505100829020905480  Run 335177, LB 379, lumi 10.15
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:33:51 2017 UTC-Mon Sep 11 03:33:51 2017 UTC (0.001 )  Time stamp start 1505100831890931695 end 1505100831889931695  Run 335177, LB 379, lumi 10.14
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:33:56 2017 UTC-Mon Sep 11 03:33:56 2017 UTC (0.001 )  Time stamp start 1505100836170069360 end 1505100836169069235  Run 335177, LB 379, lumi 10.14
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:34:00 2017 UTC-Mon Sep 11 03:34:00 2017 UTC (0.001 )  Time stamp start 1505100840477691295 end 1505100840476691295  Run 335177, LB 379, lumi 10.14
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:34:03 2017 UTC-Mon Sep 11 03:34:03 2017 UTC (0.001 )  Time stamp start 1505100843748153330 end 1505100843747152585  Run 335177, LB 380, lumi 10.13
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:34:07 2017 UTC-Mon Sep 11 03:34:07 2017 UTC (0.001 )  Time stamp start 1505100847568760150 end 1505100847567760025  Run 335177, LB 380, lumi 10.12
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:34:09 2017 UTC-Mon Sep 11 03:34:09 2017 UTC (0.001 )  Time stamp start 1505100849121333370 end 1505100849120333370  Run 335177, LB 380, lumi 10.12
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:34:11 2017 UTC-Mon Sep 11 03:34:11 2017 UTC (0.001 )  Time stamp start 1505100851978254355 end 1505100851977254355  Run 335177, LB 380, lumi 10.12
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:34:13 2017 UTC-Mon Sep 11 03:34:13 2017 UTC (0.001 )  Time stamp start 1505100853238647130 end 1505100853237584700  Run 335177, LB 380, lumi 10.75
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:34:14 2017 UTC-Mon Sep 11 03:34:14 2017 UTC (0.001 )  Time stamp start 1505100854678528485 end 1505100854677528485  Run 335177, LB 380, lumi 10.12
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:34:16 2017 UTC-Mon Sep 11 03:34:16 2017 UTC (0.001 )  Time stamp start 1505100856132629970 end 1505100856131629970  Run 335177, LB 380, lumi 10.12
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:34:17 2017 UTC-Mon Sep 11 03:34:17 2017 UTC (0.001 )  Time stamp start 1505100857276575890 end 1505100857275575890  Run 335177, LB 380, lumi 10.12
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:34:18 2017 UTC-Mon Sep 11 03:34:18 2017 UTC (0.001 )  Time stamp start 1505100858681630930 end 1505100858680630805  Run 335177, LB 380, lumi 10.12
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:34:20 2017 UTC-Mon Sep 11 03:34:20 2017 UTC (0.001 )  Time stamp start 1505100860171882790 end 1505100860170882790  Run 335177, LB 380, lumi 10.12
