Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 341294 to 341294
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 341294 to run 341294  lasting from Tue Nov 21 15:45:26 2017 UTC to Tue Nov 21 19:19:25 2017 UTC
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:01:21 2017 UTC-Tue Nov 21 17:01:21 2017 UTC (0.002 )  Time stamp start 1511283681419477225 end 1511283681417510285  Run 341294, LB 80, lumi 3.17
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:01:24 2017 UTC-Tue Nov 21 17:01:24 2017 UTC (0.001 )  Time stamp start 1511283684533398965 end 1511283684532398965  Run 341294, LB 80, lumi 1.61
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:01:26 2017 UTC-Tue Nov 21 17:01:26 2017 UTC (0.001 )  Time stamp start 1511283686162840010 end 1511283686161840010  Run 341294, LB 80, lumi 1.61
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:01:29 2017 UTC-Tue Nov 21 17:01:29 2017 UTC (0.001 )  Time stamp start 1511283689596032435 end 1511283689595032435  Run 341294, LB 80, lumi 1.61
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:01:35 2017 UTC-Tue Nov 21 17:01:35 2017 UTC (0.001 )  Time stamp start 1511283695185577605 end 1511283695184577605  Run 341294, LB 80, lumi 1.61
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:01:36 2017 UTC-Tue Nov 21 17:01:36 2017 UTC (0.001 )  Time stamp start 1511283696088005965 end 1511283696087005965  Run 341294, LB 80, lumi 1.61
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:01:36 2017 UTC-Tue Nov 21 17:01:36 2017 UTC (0.001 )  Time stamp start 1511283696676952835 end 1511283696675952835  Run 341294, LB 80, lumi 1.61
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:01:36 2017 UTC-Tue Nov 21 17:01:36 2017 UTC (0.001 )  Time stamp start 1511283696682322360 end 1511283696681322360  Run 341294, LB 80, lumi 1.61
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:01:38 2017 UTC-Tue Nov 21 17:01:38 2017 UTC (0.001 )  Time stamp start 1511283698695824920 end 1511283698694824920  Run 341294, LB 80, lumi 1.61
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:01:39 2017 UTC-Tue Nov 21 17:01:39 2017 UTC (0.001 )  Time stamp start 1511283699659412105 end 1511283699658412105  Run 341294, LB 80, lumi 1.61
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:02:28 2017 UTC-Tue Nov 21 17:02:28 2017 UTC (0.001 )  Time stamp start 1511283748547705270 end 1511283748546705270  Run 341294, LB 81, lumi 0.70
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:03:01 2017 UTC-Tue Nov 21 17:03:01 2017 UTC (0.001 )  Time stamp start 1511283781414290170 end 1511283781413290170  Run 341294, LB 83, lumi 5.35
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:03:01 2017 UTC-Tue Nov 21 17:03:01 2017 UTC (0.001 )  Time stamp start 1511283781468444850 end 1511283781467444850  Run 341294, LB 83, lumi 5.35
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:04:00 2017 UTC-Tue Nov 21 17:04:00 2017 UTC (0.002 )  Time stamp start 1511283840675212295 end 1511283840673353890  Run 341294, LB 88, lumi 9.40
