Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 334907 to 334907
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 334907 to run 334907  lasting from Wed Sep  6 00:43:31 2017 UTC to Wed Sep  6 10:11:01 2017 UTC
Event Veto ['MiniNoiseBurst'], Wed Sep  6 02:14:50 2017 UTC-Wed Sep  6 02:14:50 2017 UTC (0.001 )  Time stamp start 1504664090931645120 end 1504664090930645120  Run 334907, LB 103, lumi 10.15
Event Veto ['DataCorruption'], Wed Sep  6 02:17:05 2017 UTC-Wed Sep  6 02:17:05 2017 UTC (0.500 )  Time stamp start 1504664225723156835 end 1504664225223087120  Run 334907, LB 105, lumi 5051.71
Event Veto ['MiniNoiseBurst'], Wed Sep  6 02:17:20 2017 UTC-Wed Sep  6 02:17:20 2017 UTC (0.001 )  Time stamp start 1504664240325429755 end 1504664240324429755  Run 334907, LB 105, lumi 10.10
Event Veto ['MiniNoiseBurst'], Wed Sep  6 02:17:38 2017 UTC-Wed Sep  6 02:17:38 2017 UTC (0.001 )  Time stamp start 1504664258602302070 end 1504664258601302070  Run 334907, LB 106, lumi 10.07
Event Veto ['NoiseBurst'], Wed Sep  6 02:17:43 2017 UTC-Wed Sep  6 02:17:43 2017 UTC (0.001 )  Time stamp start 1504664263133576785 end 1504664263132576135  Run 334907, LB 106, lumi 10.08
Event Veto ['MiniNoiseBurst'], Wed Sep  6 02:18:04 2017 UTC-Wed Sep  6 02:18:04 2017 UTC (0.001 )  Time stamp start 1504664284069882485 end 1504664284068882485  Run 334907, LB 106, lumi 10.07
Event Veto ['MiniNoiseBurst'], Wed Sep  6 02:18:29 2017 UTC-Wed Sep  6 02:18:29 2017 UTC (0.001 )  Time stamp start 1504664309752548105 end 1504664309751548105  Run 334907, LB 107, lumi 10.04
Event Veto ['MiniNoiseBurst'], Wed Sep  6 02:19:17 2017 UTC-Wed Sep  6 02:19:17 2017 UTC (0.001 )  Time stamp start 1504664357810466695 end 1504664357809466695  Run 334907, LB 107, lumi 10.04
Event Veto ['NoiseBurst'], Wed Sep  6 02:19:23 2017 UTC-Wed Sep  6 02:19:23 2017 UTC (0.001 )  Time stamp start 1504664363673693800 end 1504664363672693050  Run 334907, LB 108, lumi 10.02
Event Veto ['NoiseBurst'], Wed Sep  6 02:19:39 2017 UTC-Wed Sep  6 02:19:39 2017 UTC (0.001 )  Time stamp start 1504664379122977765 end 1504664379121977020  Run 334907, LB 108, lumi 10.02
