Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 337371 to 337371
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 337371 to run 337371  lasting from Fri Oct  6 20:23:03 2017 UTC to Sat Oct  7 04:30:44 2017 UTC
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:10:07 2017 UTC-Fri Oct  6 22:10:07 2017 UTC (0.001 )  Time stamp start 1507327807532250300 end 1507327807531248850  Run 337371, LB 114, lumi 9.14
Event Veto ['NoiseBurst'], Fri Oct  6 22:10:13 2017 UTC-Fri Oct  6 22:10:13 2017 UTC (0.001 )  Time stamp start 1507327813548958985 end 1507327813547958590  Run 337371, LB 114, lumi 9.13
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:10:15 2017 UTC-Fri Oct  6 22:10:15 2017 UTC (0.001 )  Time stamp start 1507327815486833390 end 1507327815485832770  Run 337371, LB 114, lumi 9.13
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:10:18 2017 UTC-Fri Oct  6 22:10:18 2017 UTC (0.001 )  Time stamp start 1507327818069127495 end 1507327818068126245  Run 337371, LB 114, lumi 9.14
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:10:30 2017 UTC-Fri Oct  6 22:10:30 2017 UTC (0.001 )  Time stamp start 1507327830749164250 end 1507327830748164250  Run 337371, LB 114, lumi 9.13
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:10:40 2017 UTC-Fri Oct  6 22:10:40 2017 UTC (0.001 )  Time stamp start 1507327840052526850 end 1507327840051526850  Run 337371, LB 115, lumi 14.24
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:11:34 2017 UTC-Fri Oct  6 22:11:34 2017 UTC (0.001 )  Time stamp start 1507327894417886610 end 1507327894416886610  Run 337371, LB 115, lumi 14.24
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:11:46 2017 UTC-Fri Oct  6 22:11:46 2017 UTC (0.001 )  Time stamp start 1507327906245428995 end 1507327906244428995  Run 337371, LB 116, lumi 16.11
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:12:01 2017 UTC-Fri Oct  6 22:12:01 2017 UTC (0.001 )  Time stamp start 1507327921543455185 end 1507327921542455185  Run 337371, LB 116, lumi 16.11
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:12:08 2017 UTC-Fri Oct  6 22:12:08 2017 UTC (0.001 )  Time stamp start 1507327928954654530 end 1507327928953654530  Run 337371, LB 116, lumi 16.11
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:12:28 2017 UTC-Fri Oct  6 22:12:28 2017 UTC (0.001 )  Time stamp start 1507327948063775120 end 1507327948062775120  Run 337371, LB 116, lumi 16.11
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:13:00 2017 UTC-Fri Oct  6 22:13:00 2017 UTC (0.001 )  Time stamp start 1507327980067694790 end 1507327980066694790  Run 337371, LB 117, lumi 15.41
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:14:15 2017 UTC-Fri Oct  6 22:14:15 2017 UTC (0.001 )  Time stamp start 1507328055768468500 end 1507328055767468500  Run 337371, LB 118, lumi 14.93
Event Veto ['NoiseBurst'], Fri Oct  6 22:15:52 2017 UTC-Fri Oct  6 22:15:52 2017 UTC (0.001 )  Time stamp start 1507328152342927250 end 1507328152341926300  Run 337371, LB 120, lumi 14.97
Event Veto ['NoiseBurst'], Fri Oct  6 22:16:13 2017 UTC-Fri Oct  6 22:16:13 2017 UTC (0.001 )  Time stamp start 1507328173033937295 end 1507328173032936920  Run 337371, LB 121, lumi 15.02
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:16:15 2017 UTC-Fri Oct  6 22:16:15 2017 UTC (0.001 )  Time stamp start 1507328175015144895 end 1507328175014144895  Run 337371, LB 121, lumi 15.01
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:16:46 2017 UTC-Fri Oct  6 22:16:46 2017 UTC (0.001 )  Time stamp start 1507328206252490440 end 1507328206251490440  Run 337371, LB 121, lumi 15.01
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:18:42 2017 UTC-Fri Oct  6 22:18:42 2017 UTC (0.001 )  Time stamp start 1507328322078708560 end 1507328322077708560  Run 337371, LB 124, lumi 15.07
