Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 305777 to 305777
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 305777 to run 305777  lasting from Sun Aug  7 19:37:39 2016 UTC to Mon Aug  8 13:49:08 2016 UTC
Event Veto ['MiniNoiseBurst'], Mon Aug  8 00:05:30 2016 UTC-Mon Aug  8 00:05:30 2016 UTC (0.001 )  Time stamp start 1470614730245630970 end 1470614730244630970  Run 305777, LB 272, lumi 9.90
Event Veto ['MiniNoiseBurst'], Mon Aug  8 00:05:39 2016 UTC-Mon Aug  8 00:05:39 2016 UTC (0.001 )  Time stamp start 1470614739131884370 end 1470614739130883195  Run 305777, LB 272, lumi 9.91
Event Veto ['MiniNoiseBurst'], Mon Aug  8 00:05:47 2016 UTC-Mon Aug  8 00:05:47 2016 UTC (0.001 )  Time stamp start 1470614747707532250 end 1470614747706532250  Run 305777, LB 272, lumi 9.90
Event Veto ['MiniNoiseBurst'], Mon Aug  8 00:05:52 2016 UTC-Mon Aug  8 00:05:52 2016 UTC (0.001 )  Time stamp start 1470614752109565890 end 1470614752108565715  Run 305777, LB 272, lumi 9.90
Event Veto ['MiniNoiseBurst'], Mon Aug  8 00:05:56 2016 UTC-Mon Aug  8 00:05:56 2016 UTC (0.001 )  Time stamp start 1470614756319192900 end 1470614756318192750  Run 305777, LB 272, lumi 9.90
Event Veto ['MiniNoiseBurst'], Mon Aug  8 00:06:00 2016 UTC-Mon Aug  8 00:06:00 2016 UTC (0.001 )  Time stamp start 1470614760850378160 end 1470614760849377760  Run 305777, LB 272, lumi 9.91
Event Veto ['MiniNoiseBurst'], Mon Aug  8 00:06:18 2016 UTC-Mon Aug  8 00:06:18 2016 UTC (0.001 )  Time stamp start 1470614778027889235 end 1470614778026888910  Run 305777, LB 273, lumi 9.69
Event Veto ['MiniNoiseBurst'], Mon Aug  8 00:06:39 2016 UTC-Mon Aug  8 00:06:39 2016 UTC (0.001 )  Time stamp start 1470614799774045910 end 1470614799773045760  Run 305777, LB 273, lumi 9.69
Event Veto ['MiniNoiseBurst'], Mon Aug  8 00:06:44 2016 UTC-Mon Aug  8 00:06:44 2016 UTC (0.001 )  Time stamp start 1470614804152114545 end 1470614804151114545  Run 305777, LB 273, lumi 9.69
Event Veto ['MiniNoiseBurst'], Mon Aug  8 00:06:53 2016 UTC-Mon Aug  8 00:06:53 2016 UTC (0.001 )  Time stamp start 1470614813313665400 end 1470614813312665130  Run 305777, LB 273, lumi 9.69
