Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 303208 to 303208
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 303208 to run 303208  lasting from Sat Jul  2 09:46:17 2016 UTC to Sun Jul  3 13:07:42 2016 UTC
Event Veto ['MiniNoiseBurst'], Sat Jul  2 11:11:38 2016 UTC-Sat Jul  2 11:11:38 2016 UTC (0.001 )  Time stamp start 1467457898247536270 end 1467457898246535570  Run 303208, LB 93, lumi 9.84
Event Veto ['MiniNoiseBurst'], Sat Jul  2 11:11:44 2016 UTC-Sat Jul  2 11:11:44 2016 UTC (0.001 )  Time stamp start 1467457904683927770 end 1467457904682927770  Run 303208, LB 93, lumi 9.84
Event Veto ['MiniNoiseBurst'], Sat Jul  2 11:11:50 2016 UTC-Sat Jul  2 11:11:50 2016 UTC (0.001 )  Time stamp start 1467457910363639140 end 1467457910362638690  Run 303208, LB 93, lumi 9.84
Event Veto ['MiniNoiseBurst'], Sat Jul  2 11:11:56 2016 UTC-Sat Jul  2 11:11:56 2016 UTC (0.001 )  Time stamp start 1467457916442794860 end 1467457916441793685  Run 303208, LB 93, lumi 9.85
Event Veto ['MiniNoiseBurst'], Sat Jul  2 11:12:00 2016 UTC-Sat Jul  2 11:12:00 2016 UTC (0.001 )  Time stamp start 1467457920192512230 end 1467457920191511605  Run 303208, LB 93, lumi 9.84
Event Veto ['MiniNoiseBurst'], Sat Jul  2 11:12:07 2016 UTC-Sat Jul  2 11:12:07 2016 UTC (0.001 )  Time stamp start 1467457927981564145 end 1467457927980564145  Run 303208, LB 94, lumi 10.19
Event Veto ['MiniNoiseBurst'], Sat Jul  2 11:12:11 2016 UTC-Sat Jul  2 11:12:11 2016 UTC (0.001 )  Time stamp start 1467457931219030810 end 1467457931218030510  Run 303208, LB 94, lumi 10.19
Event Veto ['NoiseBurst'], Sat Jul  2 11:12:12 2016 UTC-Sat Jul  2 11:12:12 2016 UTC (0.010 )  Time stamp start 1467457932484175820 end 1467457932474175070  Run 303208, LB 94, lumi 101.90
Event Veto ['NoiseBurst'], Sat Jul  2 11:12:17 2016 UTC-Sat Jul  2 11:12:17 2016 UTC (0.010 )  Time stamp start 1467457937024296055 end 1467457937014295360  Run 303208, LB 94, lumi 101.90
Event Veto ['MiniNoiseBurst'], Sat Jul  2 11:12:21 2016 UTC-Sat Jul  2 11:12:21 2016 UTC (0.001 )  Time stamp start 1467457941935119025 end 1467457941934117880  Run 303208, LB 94, lumi 10.20
Event Veto ['MiniNoiseBurst'], Sat Jul  2 11:12:24 2016 UTC-Sat Jul  2 11:12:24 2016 UTC (0.001 )  Time stamp start 1467457944881759125 end 1467457944880758800  Run 303208, LB 94, lumi 10.19
Event Veto ['MiniNoiseBurst'], Sat Jul  2 11:12:31 2016 UTC-Sat Jul  2 11:12:31 2016 UTC (0.001 )  Time stamp start 1467457951834152995 end 1467457951833152520  Run 303208, LB 94, lumi 10.19
Event Veto ['MiniNoiseBurst'], Sat Jul  2 11:12:34 2016 UTC-Sat Jul  2 11:12:34 2016 UTC (0.001 )  Time stamp start 1467457954760007950 end 1467457954759007830  Run 303208, LB 94, lumi 10.19
Event Veto ['NoiseBurst'], Sat Jul  2 11:12:36 2016 UTC-Sat Jul  2 11:12:36 2016 UTC (0.010 )  Time stamp start 1467457956313320355 end 1467457956303319355  Run 303208, LB 94, lumi 101.90
Event Veto ['MiniNoiseBurst'], Sat Jul  2 11:12:39 2016 UTC-Sat Jul  2 11:12:39 2016 UTC (0.001 )  Time stamp start 1467457959321935960 end 1467457959320935960  Run 303208, LB 94, lumi 10.19
Event Veto ['NoiseBurst'], Sat Jul  2 11:12:40 2016 UTC-Sat Jul  2 11:12:40 2016 UTC (0.010 )  Time stamp start 1467457960182340135 end 1467457960172225910  Run 303208, LB 94, lumi 103.05
Event Veto ['MiniNoiseBurst'], Sat Jul  2 11:12:42 2016 UTC-Sat Jul  2 11:12:42 2016 UTC (0.001 )  Time stamp start 1467457962504240280 end 1467457962503240105  Run 303208, LB 94, lumi 10.19
Event Veto ['MiniNoiseBurst'], Sat Jul  2 11:12:44 2016 UTC-Sat Jul  2 11:12:44 2016 UTC (0.001 )  Time stamp start 1467457964924615195 end 1467457964923615070  Run 303208, LB 94, lumi 10.19
Event Veto ['MiniNoiseBurst'], Sat Jul  2 11:12:49 2016 UTC-Sat Jul  2 11:12:49 2016 UTC (0.001 )  Time stamp start 1467457969517562710 end 1467457969516562710  Run 303208, LB 94, lumi 10.19
Event Veto ['NoiseBurst'], Sat Jul  2 11:12:51 2016 UTC-Sat Jul  2 11:12:51 2016 UTC (0.010 )  Time stamp start 1467457971222660590 end 1467457971212633765  Run 303208, LB 94, lumi 102.16
Event Veto ['MiniNoiseBurst'], Sat Jul  2 11:13:03 2016 UTC-Sat Jul  2 11:13:03 2016 UTC (0.001 )  Time stamp start 1467457983763206490 end 1467457983762206490  Run 303208, LB 94, lumi 10.19
Event Veto ['MiniNoiseBurst'], Sat Jul  2 11:13:09 2016 UTC-Sat Jul  2 11:13:09 2016 UTC (0.001 )  Time stamp start 1467457989463261125 end 1467457989462261000  Run 303208, LB 95, lumi 10.17
Event Veto ['NoiseBurst'], Sat Jul  2 11:13:17 2016 UTC-Sat Jul  2 11:13:17 2016 UTC (0.010 )  Time stamp start 1467457997754660180 end 1467457997744557810  Run 303208, LB 95, lumi 102.74
Event Veto ['MiniNoiseBurst'], Sat Jul  2 11:13:26 2016 UTC-Sat Jul  2 11:13:26 2016 UTC (0.001 )  Time stamp start 1467458006026924545 end 1467458006025924545  Run 303208, LB 95, lumi 10.17
Event Veto ['MiniNoiseBurst'], Sat Jul  2 11:13:28 2016 UTC-Sat Jul  2 11:13:28 2016 UTC (0.001 )  Time stamp start 1467458008190036105 end 1467458008189035980  Run 303208, LB 95, lumi 10.17
Event Veto ['MiniNoiseBurst'], Sat Jul  2 11:13:33 2016 UTC-Sat Jul  2 11:13:33 2016 UTC (0.001 )  Time stamp start 1467458013789888820 end 1467458013788887670  Run 303208, LB 95, lumi 10.18
