Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349592 to 349592
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349592 to run 349592  lasting from Sun May  6 00:33:09 2018 UTC to Sun May  6 04:31:29 2018 UTC
Event Veto ['MiniNoiseBurst'], Sun May  6 02:17:16 2018 UTC-Sun May  6 02:17:16 2018 UTC (0.001 )  Time stamp start 1525573036481837450 end 1525573036480837450  Run 349592, LB 110, lumi 20.16
Event Veto ['MiniNoiseBurst'], Sun May  6 02:17:23 2018 UTC-Sun May  6 02:17:23 2018 UTC (0.001 )  Time stamp start 1525573043694999710 end 1525573043693999710  Run 349592, LB 110, lumi 20.16
Event Veto ['MiniNoiseBurst'], Sun May  6 02:17:25 2018 UTC-Sun May  6 02:17:25 2018 UTC (0.001 )  Time stamp start 1525573045646927985 end 1525573045645927985  Run 349592, LB 110, lumi 20.16
Event Veto ['MiniNoiseBurst'], Sun May  6 02:17:32 2018 UTC-Sun May  6 02:17:32 2018 UTC (0.001 )  Time stamp start 1525573052329902750 end 1525573052328902750  Run 349592, LB 110, lumi 20.16
Event Veto ['NoiseBurst'], Sun May  6 02:17:38 2018 UTC-Sun May  6 02:17:38 2018 UTC (0.001 )  Time stamp start 1525573058435715015 end 1525573058434714640  Run 349592, LB 110, lumi 20.16
Event Veto ['MiniNoiseBurst'], Sun May  6 02:17:38 2018 UTC-Sun May  6 02:17:38 2018 UTC (0.000 )  Time stamp start 1525573058435715140 end 1525573058435715015  Run 349592, LB 110, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun May  6 02:17:38 2018 UTC-Sun May  6 02:17:38 2018 UTC (0.001 )  Time stamp start 1525573058705329175 end 1525573058704329175  Run 349592, LB 110, lumi 20.16
Event Veto ['MiniNoiseBurst'], Sun May  6 02:17:44 2018 UTC-Sun May  6 02:17:44 2018 UTC (0.001 )  Time stamp start 1525573064144871490 end 1525573064143871490  Run 349592, LB 111, lumi 20.33
Event Veto ['MiniNoiseBurst'], Sun May  6 02:17:49 2018 UTC-Sun May  6 02:17:49 2018 UTC (0.001 )  Time stamp start 1525573069587229345 end 1525573069586211405  Run 349592, LB 111, lumi 20.69
Event Veto ['MiniNoiseBurst'], Sun May  6 02:17:51 2018 UTC-Sun May  6 02:17:51 2018 UTC (0.001 )  Time stamp start 1525573071454925180 end 1525573071453925180  Run 349592, LB 111, lumi 20.33
Event Veto ['MiniNoiseBurst'], Sun May  6 02:17:56 2018 UTC-Sun May  6 02:17:56 2018 UTC (0.001 )  Time stamp start 1525573076013988745 end 1525573076012988745  Run 349592, LB 111, lumi 20.33
Event Veto ['MiniNoiseBurst'], Sun May  6 02:17:57 2018 UTC-Sun May  6 02:17:57 2018 UTC (0.001 )  Time stamp start 1525573077580625025 end 1525573077579625025  Run 349592, LB 111, lumi 20.33
Event Veto ['NoiseBurst'], Sun May  6 02:17:58 2018 UTC-Sun May  6 02:17:58 2018 UTC (0.001 )  Time stamp start 1525573078943820345 end 1525573078942819445  Run 349592, LB 111, lumi 20.35
Event Veto ['MiniNoiseBurst'], Sun May  6 02:17:59 2018 UTC-Sun May  6 02:17:59 2018 UTC (0.001 )  Time stamp start 1525573079024200270 end 1525573079023200270  Run 349592, LB 111, lumi 20.33
Event Veto ['MiniNoiseBurst'], Sun May  6 02:18:01 2018 UTC-Sun May  6 02:18:01 2018 UTC (0.001 )  Time stamp start 1525573081230766925 end 1525573081229766925  Run 349592, LB 111, lumi 20.33
Event Veto ['MiniNoiseBurst'], Sun May  6 02:18:03 2018 UTC-Sun May  6 02:18:03 2018 UTC (0.001 )  Time stamp start 1525573083864557665 end 1525573083863557665  Run 349592, LB 111, lumi 20.33
Event Veto ['MiniNoiseBurst'], Sun May  6 02:18:07 2018 UTC-Sun May  6 02:18:07 2018 UTC (0.001 )  Time stamp start 1525573087049534740 end 1525573087048534590  Run 349592, LB 111, lumi 20.33
Event Veto ['MiniNoiseBurst'], Sun May  6 02:18:09 2018 UTC-Sun May  6 02:18:09 2018 UTC (0.001 )  Time stamp start 1525573089397402965 end 1525573089396402965  Run 349592, LB 111, lumi 20.33
Event Veto ['MiniNoiseBurst'], Sun May  6 02:18:17 2018 UTC-Sun May  6 02:18:17 2018 UTC (0.001 )  Time stamp start 1525573097833280755 end 1525573097832280755  Run 349592, LB 111, lumi 20.33
Event Veto ['MiniNoiseBurst'], Sun May  6 02:18:19 2018 UTC-Sun May  6 02:18:19 2018 UTC (0.001 )  Time stamp start 1525573099947844280 end 1525573099946844280  Run 349592, LB 111, lumi 20.33
Event Veto ['MiniNoiseBurst'], Sun May  6 02:18:22 2018 UTC-Sun May  6 02:18:22 2018 UTC (0.001 )  Time stamp start 1525573102260637610 end 1525573102259637610  Run 349592, LB 111, lumi 20.33
Event Veto ['MiniNoiseBurst'], Sun May  6 02:18:37 2018 UTC-Sun May  6 02:18:37 2018 UTC (0.001 )  Time stamp start 1525573117890699150 end 1525573117889699150  Run 349592, LB 111, lumi 20.33
Event Veto ['MiniNoiseBurst'], Sun May  6 02:18:39 2018 UTC-Sun May  6 02:18:39 2018 UTC (0.001 )  Time stamp start 1525573119997489025 end 1525573119996489025  Run 349592, LB 112, lumi 21.52
Event Veto ['MiniNoiseBurst'], Sun May  6 02:18:44 2018 UTC-Sun May  6 02:18:44 2018 UTC (0.001 )  Time stamp start 1525573124558548130 end 1525573124557508260  Run 349592, LB 112, lumi 22.38
Event Veto ['MiniNoiseBurst'], Sun May  6 02:18:45 2018 UTC-Sun May  6 02:18:45 2018 UTC (0.001 )  Time stamp start 1525573125061592220 end 1525573125060592220  Run 349592, LB 112, lumi 21.52
Event Veto ['MiniNoiseBurst'], Sun May  6 02:18:47 2018 UTC-Sun May  6 02:18:47 2018 UTC (0.001 )  Time stamp start 1525573127028901700 end 1525573127027901700  Run 349592, LB 112, lumi 21.52
Event Veto ['MiniNoiseBurst'], Sun May  6 02:18:54 2018 UTC-Sun May  6 02:18:54 2018 UTC (0.001 )  Time stamp start 1525573134872601310 end 1525573134871601310  Run 349592, LB 112, lumi 21.52
Event Veto ['MiniNoiseBurst'], Sun May  6 02:18:58 2018 UTC-Sun May  6 02:18:58 2018 UTC (0.001 )  Time stamp start 1525573138500282505 end 1525573138499282505  Run 349592, LB 112, lumi 21.52
Event Veto ['MiniNoiseBurst'], Sun May  6 02:18:59 2018 UTC-Sun May  6 02:18:59 2018 UTC (0.001 )  Time stamp start 1525573139447803565 end 1525573139446803565  Run 349592, LB 112, lumi 21.52
Event Veto ['MiniNoiseBurst'], Sun May  6 02:19:00 2018 UTC-Sun May  6 02:19:00 2018 UTC (0.001 )  Time stamp start 1525573140204070350 end 1525573140203070350  Run 349592, LB 112, lumi 21.52
Event Veto ['MiniNoiseBurst'], Sun May  6 02:19:03 2018 UTC-Sun May  6 02:19:03 2018 UTC (0.001 )  Time stamp start 1525573143746704835 end 1525573143745704835  Run 349592, LB 112, lumi 21.52
Event Veto ['MiniNoiseBurst'], Sun May  6 02:19:08 2018 UTC-Sun May  6 02:19:08 2018 UTC (0.001 )  Time stamp start 1525573148216408705 end 1525573148215408705  Run 349592, LB 112, lumi 21.52
Event Veto ['MiniNoiseBurst'], Sun May  6 02:19:13 2018 UTC-Sun May  6 02:19:13 2018 UTC (0.001 )  Time stamp start 1525573153475052575 end 1525573153474052575  Run 349592, LB 112, lumi 21.52
Event Veto ['MiniNoiseBurst'], Sun May  6 02:19:15 2018 UTC-Sun May  6 02:19:15 2018 UTC (0.001 )  Time stamp start 1525573155079628500 end 1525573155078628500  Run 349592, LB 112, lumi 21.52
Event Veto ['MiniNoiseBurst'], Sun May  6 02:19:17 2018 UTC-Sun May  6 02:19:17 2018 UTC (0.001 )  Time stamp start 1525573157017541200 end 1525573157016541200  Run 349592, LB 112, lumi 21.52
Event Veto ['MiniNoiseBurst'], Sun May  6 02:19:17 2018 UTC-Sun May  6 02:19:17 2018 UTC (0.001 )  Time stamp start 1525573157149160435 end 1525573157148160435  Run 349592, LB 112, lumi 21.52
Event Veto ['NoiseBurst'], Sun May  6 02:19:18 2018 UTC-Sun May  6 02:19:18 2018 UTC (0.001 )  Time stamp start 1525573158157571425 end 1525573158156570650  Run 349592, LB 112, lumi 21.54
Event Veto ['MiniNoiseBurst'], Sun May  6 02:19:19 2018 UTC-Sun May  6 02:19:19 2018 UTC (0.001 )  Time stamp start 1525573159409159125 end 1525573159408159125  Run 349592, LB 112, lumi 21.52
Event Veto ['NoiseBurst'], Sun May  6 02:19:30 2018 UTC-Sun May  6 02:19:30 2018 UTC (0.001 )  Time stamp start 1525573170623304900 end 1525573170622304250  Run 349592, LB 112, lumi 21.53
Event Veto ['MiniNoiseBurst'], Sun May  6 02:19:36 2018 UTC-Sun May  6 02:19:36 2018 UTC (0.001 )  Time stamp start 1525573176033283510 end 1525573176032283510  Run 349592, LB 112, lumi 21.52
