Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 331860 to 331860
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 331860 to run 331860  lasting from Mon Aug  7 01:55:57 2017 UTC to Mon Aug  7 12:00:48 2017 UTC
Event Veto ['NoiseBurst'], Mon Aug  7 03:00:08 2017 UTC-Mon Aug  7 03:00:08 2017 UTC (0.001 )  Time stamp start 1502074808458387710 end 1502074808457386935  Run 331860, LB 74, lumi 14.71
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:00:09 2017 UTC-Mon Aug  7 03:00:09 2017 UTC (0.001 )  Time stamp start 1502074809029182855 end 1502074809028182855  Run 331860, LB 74, lumi 14.70
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:00:22 2017 UTC-Mon Aug  7 03:00:22 2017 UTC (0.001 )  Time stamp start 1502074822370660750 end 1502074822369660750  Run 331860, LB 74, lumi 14.70
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:01:29 2017 UTC-Mon Aug  7 03:01:29 2017 UTC (0.001 )  Time stamp start 1502074889265136240 end 1502074889264136240  Run 331860, LB 76, lumi 14.38
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:01:31 2017 UTC-Mon Aug  7 03:01:31 2017 UTC (0.001 )  Time stamp start 1502074891025244400 end 1502074891024244400  Run 331860, LB 76, lumi 14.38
Event Veto ['NoiseBurst'], Mon Aug  7 03:01:44 2017 UTC-Mon Aug  7 03:01:44 2017 UTC (0.001 )  Time stamp start 1502074904628493925 end 1502074904627493425  Run 331860, LB 76, lumi 14.38
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:02:16 2017 UTC-Mon Aug  7 03:02:16 2017 UTC (0.001 )  Time stamp start 1502074936553562865 end 1502074936552562565  Run 331860, LB 76, lumi 14.38
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:02:46 2017 UTC-Mon Aug  7 03:02:46 2017 UTC (0.001 )  Time stamp start 1502074966673442375 end 1502074966672442375  Run 331860, LB 77, lumi 14.03
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:02:47 2017 UTC-Mon Aug  7 03:02:47 2017 UTC (0.001 )  Time stamp start 1502074967813046160 end 1502074967812046035  Run 331860, LB 77, lumi 14.03
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:03:00 2017 UTC-Mon Aug  7 03:03:00 2017 UTC (0.001 )  Time stamp start 1502074980104267520 end 1502074980103267520  Run 331860, LB 77, lumi 14.03
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:03:35 2017 UTC-Mon Aug  7 03:03:35 2017 UTC (0.001 )  Time stamp start 1502075015620321910 end 1502075015619321910  Run 331860, LB 78, lumi 14.50
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:04:00 2017 UTC-Mon Aug  7 03:04:00 2017 UTC (0.001 )  Time stamp start 1502075040625531230 end 1502075040624531230  Run 331860, LB 78, lumi 14.50
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:05:01 2017 UTC-Mon Aug  7 03:05:01 2017 UTC (0.001 )  Time stamp start 1502075101501179895 end 1502075101500179895  Run 331860, LB 79, lumi 14.66
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:05:34 2017 UTC-Mon Aug  7 03:05:34 2017 UTC (0.001 )  Time stamp start 1502075134640151395 end 1502075134639151395  Run 331860, LB 80, lumi 14.64
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:05:38 2017 UTC-Mon Aug  7 03:05:38 2017 UTC (0.001 )  Time stamp start 1502075138955840225 end 1502075138954840225  Run 331860, LB 80, lumi 14.64
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:07:50 2017 UTC-Mon Aug  7 03:07:50 2017 UTC (0.001 )  Time stamp start 1502075270920394935 end 1502075270919394435  Run 331860, LB 82, lumi 14.60
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:08:45 2017 UTC-Mon Aug  7 03:08:45 2017 UTC (0.001 )  Time stamp start 1502075325055429835 end 1502075325054429460  Run 331860, LB 83, lumi 14.57
Event Veto ['NoiseBurst'], Mon Aug  7 03:08:48 2017 UTC-Mon Aug  7 03:08:48 2017 UTC (0.001 )  Time stamp start 1502075328502236815 end 1502075328501236690  Run 331860, LB 83, lumi 14.57
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:09:09 2017 UTC-Mon Aug  7 03:09:09 2017 UTC (0.001 )  Time stamp start 1502075349981588945 end 1502075349980588945  Run 331860, LB 83, lumi 14.57
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:09:23 2017 UTC-Mon Aug  7 03:09:23 2017 UTC (0.001 )  Time stamp start 1502075363743293825 end 1502075363742293825  Run 331860, LB 84, lumi 14.54
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:10:35 2017 UTC-Mon Aug  7 03:10:35 2017 UTC (0.001 )  Time stamp start 1502075435951282275 end 1502075435950281905  Run 331860, LB 85, lumi 14.53
Event Veto ['NoiseBurst'], Mon Aug  7 03:10:42 2017 UTC-Mon Aug  7 03:10:42 2017 UTC (0.001 )  Time stamp start 1502075442954556880 end 1502075442953479505  Run 331860, LB 85, lumi 15.65
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:11:05 2017 UTC-Mon Aug  7 03:11:05 2017 UTC (0.001 )  Time stamp start 1502075465766209875 end 1502075465765209875  Run 331860, LB 85, lumi 14.52
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:11:19 2017 UTC-Mon Aug  7 03:11:19 2017 UTC (0.001 )  Time stamp start 1502075479535726530 end 1502075479534726235  Run 331860, LB 86, lumi 14.50
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:11:26 2017 UTC-Mon Aug  7 03:11:26 2017 UTC (0.001 )  Time stamp start 1502075486404357290 end 1502075486403357290  Run 331860, LB 86, lumi 14.50
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:11:40 2017 UTC-Mon Aug  7 03:11:40 2017 UTC (0.001 )  Time stamp start 1502075500026207265 end 1502075500025207265  Run 331860, LB 86, lumi 14.50
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:11:42 2017 UTC-Mon Aug  7 03:11:42 2017 UTC (0.001 )  Time stamp start 1502075502293972395 end 1502075502292972395  Run 331860, LB 86, lumi 14.50
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:11:53 2017 UTC-Mon Aug  7 03:11:53 2017 UTC (0.001 )  Time stamp start 1502075513533964740 end 1502075513532964740  Run 331860, LB 86, lumi 14.50
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:11:57 2017 UTC-Mon Aug  7 03:11:57 2017 UTC (0.001 )  Time stamp start 1502075517473897685 end 1502075517472897685  Run 331860, LB 86, lumi 14.50
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:12:15 2017 UTC-Mon Aug  7 03:12:15 2017 UTC (0.001 )  Time stamp start 1502075535656709685 end 1502075535655709685  Run 331860, LB 87, lumi 14.49
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:13:07 2017 UTC-Mon Aug  7 03:13:07 2017 UTC (0.001 )  Time stamp start 1502075587324156055 end 1502075587323156055  Run 331860, LB 88, lumi 14.47
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:13:26 2017 UTC-Mon Aug  7 03:13:26 2017 UTC (0.001 )  Time stamp start 1502075606651940065 end 1502075606650940065  Run 331860, LB 89, lumi 14.46
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:13:49 2017 UTC-Mon Aug  7 03:13:49 2017 UTC (0.001 )  Time stamp start 1502075629199397560 end 1502075629198397560  Run 331860, LB 90, lumi 14.45
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:14:15 2017 UTC-Mon Aug  7 03:14:15 2017 UTC (0.001 )  Time stamp start 1502075655289178655 end 1502075655288178655  Run 331860, LB 91, lumi 14.43
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:14:52 2017 UTC-Mon Aug  7 03:14:52 2017 UTC (0.001 )  Time stamp start 1502075692813279050 end 1502075692812279050  Run 331860, LB 91, lumi 14.43
Event Veto ['NoiseBurst'], Mon Aug  7 03:15:05 2017 UTC-Mon Aug  7 03:15:05 2017 UTC (0.001 )  Time stamp start 1502075705802061225 end 1502075705801060850  Run 331860, LB 91, lumi 14.43
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:15:12 2017 UTC-Mon Aug  7 03:15:12 2017 UTC (0.001 )  Time stamp start 1502075712172137210 end 1502075712171136965  Run 331860, LB 92, lumi 14.41
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:15:43 2017 UTC-Mon Aug  7 03:15:43 2017 UTC (0.001 )  Time stamp start 1502075743361448930 end 1502075743360448930  Run 331860, LB 92, lumi 14.41
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:15:56 2017 UTC-Mon Aug  7 03:15:56 2017 UTC (0.001 )  Time stamp start 1502075756658305165 end 1502075756657305165  Run 331860, LB 92, lumi 14.41
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:17:04 2017 UTC-Mon Aug  7 03:17:04 2017 UTC (0.001 )  Time stamp start 1502075824886088540 end 1502075824885088540  Run 331860, LB 94, lumi 14.37
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:17:34 2017 UTC-Mon Aug  7 03:17:34 2017 UTC (0.001 )  Time stamp start 1502075854631839335 end 1502075854630839335  Run 331860, LB 94, lumi 14.37
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:18:35 2017 UTC-Mon Aug  7 03:18:35 2017 UTC (0.001 )  Time stamp start 1502075915001187740 end 1502075915000187365  Run 331860, LB 95, lumi 14.36
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:19:03 2017 UTC-Mon Aug  7 03:19:03 2017 UTC (0.001 )  Time stamp start 1502075943013825795 end 1502075943012825795  Run 331860, LB 96, lumi 14.32
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:19:35 2017 UTC-Mon Aug  7 03:19:35 2017 UTC (0.001 )  Time stamp start 1502075975877350130 end 1502075975876350130  Run 331860, LB 96, lumi 14.32
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:19:36 2017 UTC-Mon Aug  7 03:19:36 2017 UTC (0.001 )  Time stamp start 1502075976001283195 end 1502075976000283195  Run 331860, LB 96, lumi 14.32
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:19:55 2017 UTC-Mon Aug  7 03:19:55 2017 UTC (0.001 )  Time stamp start 1502075995443528870 end 1502075995442528870  Run 331860, LB 97, lumi 14.30
Event Veto ['NoiseBurst'], Mon Aug  7 03:20:04 2017 UTC-Mon Aug  7 03:20:04 2017 UTC (0.001 )  Time stamp start 1502076004390752790 end 1502076004389752170  Run 331860, LB 97, lumi 14.31
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:20:53 2017 UTC-Mon Aug  7 03:20:53 2017 UTC (0.001 )  Time stamp start 1502076053120098225 end 1502076053119098225  Run 331860, LB 98, lumi 14.27
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:21:04 2017 UTC-Mon Aug  7 03:21:04 2017 UTC (0.001 )  Time stamp start 1502076064566866150 end 1502076064565866150  Run 331860, LB 98, lumi 14.27
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:21:33 2017 UTC-Mon Aug  7 03:21:33 2017 UTC (0.001 )  Time stamp start 1502076093444300720 end 1502076093443300720  Run 331860, LB 98, lumi 14.27
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:23:32 2017 UTC-Mon Aug  7 03:23:32 2017 UTC (0.001 )  Time stamp start 1502076212288865060 end 1502076212287865060  Run 331860, LB 100, lumi 14.22
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:23:41 2017 UTC-Mon Aug  7 03:23:41 2017 UTC (0.001 )  Time stamp start 1502076221129379905 end 1502076221128379905  Run 331860, LB 100, lumi 14.22
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:23:58 2017 UTC-Mon Aug  7 03:23:58 2017 UTC (0.001 )  Time stamp start 1502076238951750105 end 1502076238950750105  Run 331860, LB 101, lumi 14.20
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:24:05 2017 UTC-Mon Aug  7 03:24:05 2017 UTC (0.001 )  Time stamp start 1502076245996447795 end 1502076245995447675  Run 331860, LB 101, lumi 14.20
Event Veto ['DataCorruption'], Mon Aug  7 03:24:15 2017 UTC-Mon Aug  7 03:24:15 2017 UTC (0.500 )  Time stamp start 1502076255553896185 end 1502076255053437840  Run 331860, LB 101, lumi 7107.08
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:24:17 2017 UTC-Mon Aug  7 03:24:17 2017 UTC (0.001 )  Time stamp start 1502076257892375010 end 1502076257891375010  Run 331860, LB 101, lumi 14.20
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:25:04 2017 UTC-Mon Aug  7 03:25:04 2017 UTC (0.001 )  Time stamp start 1502076304591981105 end 1502076304590980980  Run 331860, LB 102, lumi 14.18
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:25:45 2017 UTC-Mon Aug  7 03:25:45 2017 UTC (0.001 )  Time stamp start 1502076345368387705 end 1502076345367387705  Run 331860, LB 103, lumi 14.16
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:26:01 2017 UTC-Mon Aug  7 03:26:01 2017 UTC (0.002 )  Time stamp start 1502076361053525080 end 1502076361052014965  Run 331860, LB 103, lumi 21.38
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:26:28 2017 UTC-Mon Aug  7 03:26:28 2017 UTC (0.001 )  Time stamp start 1502076388540222985 end 1502076388539222985  Run 331860, LB 103, lumi 14.16
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:26:37 2017 UTC-Mon Aug  7 03:26:37 2017 UTC (0.001 )  Time stamp start 1502076397010161870 end 1502076397009161870  Run 331860, LB 103, lumi 14.16
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:27:14 2017 UTC-Mon Aug  7 03:27:14 2017 UTC (0.001 )  Time stamp start 1502076434184714380 end 1502076434183714380  Run 331860, LB 104, lumi 14.13
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:28:11 2017 UTC-Mon Aug  7 03:28:11 2017 UTC (0.001 )  Time stamp start 1502076491343802130 end 1502076491342802130  Run 331860, LB 105, lumi 14.11
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:28:47 2017 UTC-Mon Aug  7 03:28:47 2017 UTC (0.001 )  Time stamp start 1502076527077715870 end 1502076527076715870  Run 331860, LB 106, lumi 14.08
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:28:47 2017 UTC-Mon Aug  7 03:28:47 2017 UTC (0.001 )  Time stamp start 1502076527654078070 end 1502076527653078070  Run 331860, LB 106, lumi 14.08
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:29:35 2017 UTC-Mon Aug  7 03:29:35 2017 UTC (0.001 )  Time stamp start 1502076575037974220 end 1502076575036974220  Run 331860, LB 106, lumi 14.08
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:29:36 2017 UTC-Mon Aug  7 03:29:36 2017 UTC (0.001 )  Time stamp start 1502076576532812185 end 1502076576531812185  Run 331860, LB 106, lumi 14.08
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:29:53 2017 UTC-Mon Aug  7 03:29:53 2017 UTC (0.001 )  Time stamp start 1502076593948664800 end 1502076593947664800  Run 331860, LB 107, lumi 14.06
Event Veto ['NoiseBurst'], Mon Aug  7 03:30:25 2017 UTC-Mon Aug  7 03:30:25 2017 UTC (0.001 )  Time stamp start 1502076625688934215 end 1502076625687933545  Run 331860, LB 107, lumi 14.07
Event Veto ['NoiseBurst'], Mon Aug  7 03:31:15 2017 UTC-Mon Aug  7 03:31:15 2017 UTC (0.001 )  Time stamp start 1502076675854447690 end 1502076675853339155  Run 331860, LB 108, lumi 15.57
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:32:30 2017 UTC-Mon Aug  7 03:32:30 2017 UTC (0.001 )  Time stamp start 1502076750484597355 end 1502076750483597355  Run 331860, LB 109, lumi 14.02
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:32:49 2017 UTC-Mon Aug  7 03:32:49 2017 UTC (0.001 )  Time stamp start 1502076769427108935 end 1502076769426108935  Run 331860, LB 110, lumi 14.00
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:34:37 2017 UTC-Mon Aug  7 03:34:37 2017 UTC (0.001 )  Time stamp start 1502076877384479315 end 1502076877383479315  Run 331860, LB 112, lumi 13.95
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:35:19 2017 UTC-Mon Aug  7 03:35:19 2017 UTC (0.001 )  Time stamp start 1502076919907865265 end 1502076919906865265  Run 331860, LB 112, lumi 13.95
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:36:40 2017 UTC-Mon Aug  7 03:36:40 2017 UTC (0.001 )  Time stamp start 1502077000635278565 end 1502077000634278565  Run 331860, LB 114, lumi 13.91
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:37:01 2017 UTC-Mon Aug  7 03:37:01 2017 UTC (0.001 )  Time stamp start 1502077021397549225 end 1502077021396549225  Run 331860, LB 114, lumi 13.91
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:37:59 2017 UTC-Mon Aug  7 03:37:59 2017 UTC (0.001 )  Time stamp start 1502077079641491365 end 1502077079640491365  Run 331860, LB 115, lumi 13.86
Event Veto ['NoiseBurst'], Mon Aug  7 03:38:12 2017 UTC-Mon Aug  7 03:38:12 2017 UTC (0.001 )  Time stamp start 1502077092621118205 end 1502077092620117830  Run 331860, LB 115, lumi 13.87
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:38:30 2017 UTC-Mon Aug  7 03:38:30 2017 UTC (0.001 )  Time stamp start 1502077110745799015 end 1502077110744798740  Run 331860, LB 116, lumi 13.86
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:38:35 2017 UTC-Mon Aug  7 03:38:35 2017 UTC (0.001 )  Time stamp start 1502077115184131850 end 1502077115183131850  Run 331860, LB 116, lumi 13.86
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:39:00 2017 UTC-Mon Aug  7 03:39:00 2017 UTC (0.001 )  Time stamp start 1502077140803845765 end 1502077140802845765  Run 331860, LB 116, lumi 13.86
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:39:29 2017 UTC-Mon Aug  7 03:39:29 2017 UTC (0.001 )  Time stamp start 1502077169424731010 end 1502077169423730510  Run 331860, LB 117, lumi 13.83
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:40:37 2017 UTC-Mon Aug  7 03:40:37 2017 UTC (0.001 )  Time stamp start 1502077237127049080 end 1502077237126049080  Run 331860, LB 118, lumi 13.62
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:40:49 2017 UTC-Mon Aug  7 03:40:49 2017 UTC (0.001 )  Time stamp start 1502077249965730295 end 1502077249964730295  Run 331860, LB 118, lumi 13.62
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:41:02 2017 UTC-Mon Aug  7 03:41:02 2017 UTC (0.001 )  Time stamp start 1502077262296796550 end 1502077262295796550  Run 331860, LB 118, lumi 13.62
Event Veto ['MiniNoiseBurst'], Mon Aug  7 03:41:23 2017 UTC-Mon Aug  7 03:41:23 2017 UTC (0.001 )  Time stamp start 1502077283296322995 end 1502077283295322995  Run 331860, LB 119, lumi 13.45
