Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 340072 to 340072
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 340072 to run 340072  lasting from Sun Nov  5 20:44:26 2017 UTC to Tue Nov  7 06:10:39 2017 UTC
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:33:12 2017 UTC-Mon Nov  6 02:33:12 2017 UTC (0.001 )  Time stamp start 1509935592923993830 end 1509935592922993830  Run 340072, LB 358, lumi 19.97
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:33:22 2017 UTC-Mon Nov  6 02:33:22 2017 UTC (0.001 )  Time stamp start 1509935602623539005 end 1509935602622539005  Run 340072, LB 358, lumi 19.97
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:33:29 2017 UTC-Mon Nov  6 02:33:29 2017 UTC (0.001 )  Time stamp start 1509935609190377200 end 1509935609189377200  Run 340072, LB 358, lumi 19.97
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:33:33 2017 UTC-Mon Nov  6 02:33:33 2017 UTC (0.001 )  Time stamp start 1509935613615819765 end 1509935613614819765  Run 340072, LB 359, lumi 13.83
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:33:42 2017 UTC-Mon Nov  6 02:33:42 2017 UTC (0.001 )  Time stamp start 1509935622797552475 end 1509935622796552475  Run 340072, LB 359, lumi 13.83
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:34:56 2017 UTC-Mon Nov  6 02:34:56 2017 UTC (0.001 )  Time stamp start 1509935696993760620 end 1509935696992760620  Run 340072, LB 360, lumi 12.99
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:36:14 2017 UTC-Mon Nov  6 02:36:14 2017 UTC (0.001 )  Time stamp start 1509935774447476850 end 1509935774446476850  Run 340072, LB 361, lumi 14.21
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:37:07 2017 UTC-Mon Nov  6 02:37:07 2017 UTC (0.001 )  Time stamp start 1509935827571645195 end 1509935827570645195  Run 340072, LB 362, lumi 15.17
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:37:55 2017 UTC-Mon Nov  6 02:37:55 2017 UTC (0.001 )  Time stamp start 1509935875466805565 end 1509935875465805565  Run 340072, LB 363, lumi 15.23
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:38:03 2017 UTC-Mon Nov  6 02:38:03 2017 UTC (0.001 )  Time stamp start 1509935883822226705 end 1509935883821226705  Run 340072, LB 363, lumi 15.23
