Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 303007 to 303007
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 303007 to run 303007  lasting from Wed Jun 29 22:13:49 2016 UTC to Thu Jun 30 01:49:50 2016 UTC
Event Veto ['NoiseBurst'], Thu Jun 30 00:58:31 2016 UTC-Thu Jun 30 00:58:31 2016 UTC (0.010 )  Time stamp start 1467248311076247860 end 1467248311066177575  Run 303007, LB 175, lumi 101.58
Event Veto ['MiniNoiseBurst'], Thu Jun 30 00:58:38 2016 UTC-Thu Jun 30 00:58:38 2016 UTC (0.001 )  Time stamp start 1467248318871012460 end 1467248318870012335  Run 303007, LB 175, lumi 10.09
Event Veto ['MiniNoiseBurst'], Thu Jun 30 00:58:50 2016 UTC-Thu Jun 30 00:58:50 2016 UTC (0.001 )  Time stamp start 1467248330246023300 end 1467248330245023175  Run 303007, LB 175, lumi 10.09
Event Veto ['MiniNoiseBurst'], Thu Jun 30 00:59:20 2016 UTC-Thu Jun 30 00:59:20 2016 UTC (0.001 )  Time stamp start 1467248360542416850 end 1467248360541415825  Run 303007, LB 176, lumi 10.14
Event Veto ['NoiseBurst'], Thu Jun 30 00:59:32 2016 UTC-Thu Jun 30 00:59:32 2016 UTC (0.010 )  Time stamp start 1467248372924391620 end 1467248372914089065  Run 303007, LB 176, lumi 104.35
Event Veto ['MiniNoiseBurst'], Thu Jun 30 00:59:38 2016 UTC-Thu Jun 30 00:59:38 2016 UTC (0.001 )  Time stamp start 1467248378481693735 end 1467248378480692510  Run 303007, LB 176, lumi 10.14
Event Veto ['MiniNoiseBurst'], Thu Jun 30 00:59:44 2016 UTC-Thu Jun 30 00:59:44 2016 UTC (0.001 )  Time stamp start 1467248384742953025 end 1467248384741953025  Run 303007, LB 176, lumi 10.13
Event Veto ['MiniNoiseBurst'], Thu Jun 30 00:59:47 2016 UTC-Thu Jun 30 00:59:47 2016 UTC (0.001 )  Time stamp start 1467248387932980310 end 1467248387931980310  Run 303007, LB 176, lumi 10.13
Event Veto ['MiniNoiseBurst'], Thu Jun 30 01:00:02 2016 UTC-Thu Jun 30 01:00:02 2016 UTC (0.001 )  Time stamp start 1467248402964491250 end 1467248402963491125  Run 303007, LB 176, lumi 10.13
Event Veto ['MiniNoiseBurst'], Thu Jun 30 01:00:08 2016 UTC-Thu Jun 30 01:00:08 2016 UTC (0.001 )  Time stamp start 1467248408183968035 end 1467248408182968035  Run 303007, LB 176, lumi 10.13
Event Veto ['MiniNoiseBurst'], Thu Jun 30 01:00:14 2016 UTC-Thu Jun 30 01:00:14 2016 UTC (0.001 )  Time stamp start 1467248414416724450 end 1467248414415724075  Run 303007, LB 177, lumi 10.09
