Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349693 to 349693
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349693 to run 349693  lasting from Mon May  7 16:15:12 2018 UTC to Tue May  8 04:41:52 2018 UTC
Event Veto ['MiniNoiseBurst'], Mon May  7 21:22:08 2018 UTC-Mon May  7 21:22:08 2018 UTC (0.001 )  Time stamp start 1525728128654096850 end 1525728128653096850  Run 349693, LB 314, lumi 19.12
Event Veto ['NoiseBurst'], Mon May  7 21:22:12 2018 UTC-Mon May  7 21:22:12 2018 UTC (0.001 )  Time stamp start 1525728132843417600 end 1525728132842417475  Run 349693, LB 314, lumi 19.13
Event Veto ['MiniNoiseBurst'], Mon May  7 21:22:38 2018 UTC-Mon May  7 21:22:38 2018 UTC (0.001 )  Time stamp start 1525728158041403610 end 1525728158040403610  Run 349693, LB 314, lumi 19.12
Event Veto ['MiniNoiseBurst'], Mon May  7 21:22:39 2018 UTC-Mon May  7 21:22:39 2018 UTC (0.001 )  Time stamp start 1525728159605698450 end 1525728159604698450  Run 349693, LB 314, lumi 19.12
Event Veto ['MiniNoiseBurst'], Mon May  7 21:23:58 2018 UTC-Mon May  7 21:23:58 2018 UTC (0.001 )  Time stamp start 1525728238268173580 end 1525728238267173580  Run 349693, LB 316, lumi 19.01
Event Veto ['MiniNoiseBurst'], Mon May  7 21:24:00 2018 UTC-Mon May  7 21:24:00 2018 UTC (0.001 )  Time stamp start 1525728240560158630 end 1525728240559158630  Run 349693, LB 316, lumi 19.01
Event Veto ['MiniNoiseBurst'], Mon May  7 21:24:05 2018 UTC-Mon May  7 21:24:05 2018 UTC (0.001 )  Time stamp start 1525728245779735925 end 1525728245778735800  Run 349693, LB 316, lumi 19.01
Event Veto ['MiniNoiseBurst'], Mon May  7 21:25:24 2018 UTC-Mon May  7 21:25:24 2018 UTC (0.001 )  Time stamp start 1525728324891036685 end 1525728324890036685  Run 349693, LB 318, lumi 18.86
Event Veto ['MiniNoiseBurst'], Mon May  7 21:25:27 2018 UTC-Mon May  7 21:25:27 2018 UTC (0.001 )  Time stamp start 1525728327107101750 end 1525728327106101750  Run 349693, LB 318, lumi 18.86
Event Veto ['MiniNoiseBurst'], Mon May  7 21:25:51 2018 UTC-Mon May  7 21:25:51 2018 UTC (0.001 )  Time stamp start 1525728351787521810 end 1525728351786521810  Run 349693, LB 318, lumi 18.86
Event Veto ['MiniNoiseBurst'], Mon May  7 21:25:55 2018 UTC-Mon May  7 21:25:55 2018 UTC (0.001 )  Time stamp start 1525728355028227435 end 1525728355027227435  Run 349693, LB 318, lumi 18.86
Event Veto ['DataCorruption'], Mon May  7 21:25:56 2018 UTC-Mon May  7 21:25:56 2018 UTC (0.500 )  Time stamp start 1525728356639833560 end 1525728356139531985  Run 349693, LB 318, lumi 9434.85
Event Veto ['MiniNoiseBurst'], Mon May  7 21:26:14 2018 UTC-Mon May  7 21:26:14 2018 UTC (0.001 )  Time stamp start 1525728374418332810 end 1525728374417332810  Run 349693, LB 319, lumi 18.77
Event Veto ['MiniNoiseBurst'], Mon May  7 21:26:40 2018 UTC-Mon May  7 21:26:40 2018 UTC (0.001 )  Time stamp start 1525728400424932580 end 1525728400423932580  Run 349693, LB 319, lumi 18.77
Event Veto ['MiniNoiseBurst'], Mon May  7 21:26:46 2018 UTC-Mon May  7 21:26:46 2018 UTC (0.001 )  Time stamp start 1525728406932751260 end 1525728406931751260  Run 349693, LB 319, lumi 18.77
Event Veto ['MiniNoiseBurst'], Mon May  7 21:27:04 2018 UTC-Mon May  7 21:27:04 2018 UTC (0.001 )  Time stamp start 1525728424147189880 end 1525728424146189880  Run 349693, LB 320, lumi 18.67
Event Veto ['MiniNoiseBurst'], Mon May  7 21:27:14 2018 UTC-Mon May  7 21:27:14 2018 UTC (0.001 )  Time stamp start 1525728434432917610 end 1525728434431917610  Run 349693, LB 320, lumi 18.67
Event Veto ['MiniNoiseBurst'], Mon May  7 21:27:19 2018 UTC-Mon May  7 21:27:19 2018 UTC (0.001 )  Time stamp start 1525728439731923480 end 1525728439730923480  Run 349693, LB 320, lumi 18.67
Event Veto ['MiniNoiseBurst'], Mon May  7 21:27:37 2018 UTC-Mon May  7 21:27:37 2018 UTC (0.001 )  Time stamp start 1525728457757480825 end 1525728457756480825  Run 349693, LB 320, lumi 18.67
Event Veto ['NoiseBurst'], Mon May  7 21:28:55 2018 UTC-Mon May  7 21:28:55 2018 UTC (0.002 )  Time stamp start 1525728535020353160 end 1525728535018532130  Run 349693, LB 324, lumi 33.50
Event Veto ['MiniNoiseBurst'], Mon May  7 21:29:22 2018 UTC-Mon May  7 21:29:22 2018 UTC (0.001 )  Time stamp start 1525728562617246205 end 1525728562616246205  Run 349693, LB 325, lumi 18.40
Event Veto ['MiniNoiseBurst'], Mon May  7 21:29:24 2018 UTC-Mon May  7 21:29:24 2018 UTC (0.001 )  Time stamp start 1525728564657980535 end 1525728564656980535  Run 349693, LB 325, lumi 18.40
Event Veto ['MiniNoiseBurst'], Mon May  7 21:30:10 2018 UTC-Mon May  7 21:30:10 2018 UTC (0.001 )  Time stamp start 1525728610633807105 end 1525728610632807105  Run 349693, LB 326, lumi 18.42
Event Veto ['MiniNoiseBurst'], Mon May  7 21:30:13 2018 UTC-Mon May  7 21:30:13 2018 UTC (0.001 )  Time stamp start 1525728613466768280 end 1525728613465768280  Run 349693, LB 326, lumi 18.42
Event Veto ['MiniNoiseBurst'], Mon May  7 21:30:18 2018 UTC-Mon May  7 21:30:18 2018 UTC (0.001 )  Time stamp start 1525728618645569030 end 1525728618644569030  Run 349693, LB 326, lumi 18.42
Event Veto ['MiniNoiseBurst'], Mon May  7 21:30:33 2018 UTC-Mon May  7 21:30:33 2018 UTC (0.001 )  Time stamp start 1525728633367415040 end 1525728633366415040  Run 349693, LB 327, lumi 18.38
Event Veto ['MiniNoiseBurst'], Mon May  7 21:31:00 2018 UTC-Mon May  7 21:31:00 2018 UTC (0.001 )  Time stamp start 1525728660447290005 end 1525728660446290005  Run 349693, LB 327, lumi 18.38
Event Veto ['MiniNoiseBurst'], Mon May  7 21:31:07 2018 UTC-Mon May  7 21:31:07 2018 UTC (0.001 )  Time stamp start 1525728667776665475 end 1525728667775665475  Run 349693, LB 327, lumi 18.38
Event Veto ['MiniNoiseBurst'], Mon May  7 21:31:08 2018 UTC-Mon May  7 21:31:08 2018 UTC (0.001 )  Time stamp start 1525728668496176705 end 1525728668495176580  Run 349693, LB 327, lumi 18.38
Event Veto ['MiniNoiseBurst'], Mon May  7 21:31:21 2018 UTC-Mon May  7 21:31:21 2018 UTC (0.001 )  Time stamp start 1525728681085171135 end 1525728681084171135  Run 349693, LB 328, lumi 18.28
Event Veto ['MiniNoiseBurst'], Mon May  7 21:31:36 2018 UTC-Mon May  7 21:31:36 2018 UTC (0.001 )  Time stamp start 1525728696897940135 end 1525728696896940135  Run 349693, LB 328, lumi 18.28
