Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 359717 to 359717
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 359717 to run 359717  lasting from Sun Sep  2 10:24:37 2018 UTC to Sun Sep  2 18:10:55 2018 UTC
Event Veto ['MiniNoiseBurst'], Sun Sep  2 11:38:33 2018 UTC-Sun Sep  2 11:38:33 2018 UTC (0.001 )  Time stamp start 1535888313944333275 end 1535888313943333275  Run 359717, LB 85, lumi 19.92
Event Veto ['NoiseBurst'], Sun Sep  2 11:46:49 2018 UTC-Sun Sep  2 11:46:49 2018 UTC (0.001 )  Time stamp start 1535888809589756850 end 1535888809588693250  Run 359717, LB 96, lumi 20.64
Event Veto ['NoiseBurst'], Sun Sep  2 11:48:07 2018 UTC-Sun Sep  2 11:48:07 2018 UTC (0.001 )  Time stamp start 1535888887247097780 end 1535888887246096855  Run 359717, LB 97, lumi 19.36
Event Veto ['MiniNoiseBurst'], Sun Sep  2 11:48:35 2018 UTC-Sun Sep  2 11:48:35 2018 UTC (0.001 )  Time stamp start 1535888915838114110 end 1535888915837114110  Run 359717, LB 97, lumi 19.34
Event Veto ['NoiseBurst'], Sun Sep  2 11:50:14 2018 UTC-Sun Sep  2 11:50:14 2018 UTC (0.001 )  Time stamp start 1535889014043590845 end 1535889014042590070  Run 359717, LB 99, lumi 19.25
Event Veto ['NoiseBurst'], Sun Sep  2 11:50:18 2018 UTC-Sun Sep  2 11:50:18 2018 UTC (0.001 )  Time stamp start 1535889018674829215 end 1535889018673828840  Run 359717, LB 99, lumi 19.24
Event Veto ['NoiseBurst'], Sun Sep  2 11:50:53 2018 UTC-Sun Sep  2 11:50:53 2018 UTC (0.001 )  Time stamp start 1535889053569472325 end 1535889053568471705  Run 359717, LB 100, lumi 19.06
Event Veto ['NoiseBurst'], Sun Sep  2 11:51:04 2018 UTC-Sun Sep  2 11:51:04 2018 UTC (0.001 )  Time stamp start 1535889064099741220 end 1535889064098740225  Run 359717, LB 100, lumi 19.06
Event Veto ['NoiseBurst'], Sun Sep  2 11:51:15 2018 UTC-Sun Sep  2 11:51:15 2018 UTC (0.001 )  Time stamp start 1535889075554228685 end 1535889075553228440  Run 359717, LB 100, lumi 19.05
Event Veto ['NoiseBurst'], Sun Sep  2 11:53:00 2018 UTC-Sun Sep  2 11:53:00 2018 UTC (0.001 )  Time stamp start 1535889180502183340 end 1535889180501182715  Run 359717, LB 102, lumi 17.65
Event Veto ['MiniNoiseBurst'], Sun Sep  2 11:56:40 2018 UTC-Sun Sep  2 11:56:40 2018 UTC (0.001 )  Time stamp start 1535889400664904585 end 1535889400663904585  Run 359717, LB 108, lumi 19.50
Event Veto ['MiniNoiseBurst'], Sun Sep  2 12:00:12 2018 UTC-Sun Sep  2 12:00:12 2018 UTC (0.001 )  Time stamp start 1535889612650532585 end 1535889612649532585  Run 359717, LB 111, lumi 19.39
Event Veto ['NoiseBurst'], Sun Sep  2 12:04:35 2018 UTC-Sun Sep  2 12:04:35 2018 UTC (0.001 )  Time stamp start 1535889875232862460 end 1535889875231761805  Run 359717, LB 116, lumi 21.15
Event Veto ['MiniNoiseBurst'], Sun Sep  2 12:07:55 2018 UTC-Sun Sep  2 12:07:55 2018 UTC (0.001 )  Time stamp start 1535890075085227575 end 1535890075084227575  Run 359717, LB 119, lumi 19.07
