Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 357620 to 357620
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 357620 to run 357620  lasting from Sun Aug  5 21:39:50 2018 UTC to Mon Aug  6 01:24:07 2018 UTC
Event Veto ['MiniNoiseBurst'], Sun Aug  5 23:07:51 2018 UTC-Sun Aug  5 23:07:51 2018 UTC (0.001 )  Time stamp start 1533510471966780300 end 1533510471965780300  Run 357620, LB 128, lumi 18.89
Event Veto ['NoiseBurst'], Sun Aug  5 23:11:20 2018 UTC-Sun Aug  5 23:11:20 2018 UTC (0.002 )  Time stamp start 1533510680569697515 end 1533510680567857250  Run 357620, LB 131, lumi 34.58
Event Veto ['NoiseBurst'], Sun Aug  5 23:14:13 2018 UTC-Sun Aug  5 23:14:13 2018 UTC (0.001 )  Time stamp start 1533510853585772415 end 1533510853584722990  Run 357620, LB 134, lumi 19.64
Event Veto ['MiniNoiseBurst'], Sun Aug  5 23:14:37 2018 UTC-Sun Aug  5 23:14:37 2018 UTC (0.001 )  Time stamp start 1533510877043962445 end 1533510877042962445  Run 357620, LB 135, lumi 18.67
Event Veto ['MiniNoiseBurst'], Sun Aug  5 23:16:40 2018 UTC-Sun Aug  5 23:16:40 2018 UTC (0.001 )  Time stamp start 1533511000024398280 end 1533511000023398280  Run 357620, LB 137, lumi 18.59
Event Veto ['MiniNoiseBurst'], Sun Aug  5 23:16:42 2018 UTC-Sun Aug  5 23:16:42 2018 UTC (0.001 )  Time stamp start 1533511002674261210 end 1533511002673261210  Run 357620, LB 137, lumi 18.59
Event Veto ['NoiseBurst'], Sun Aug  5 23:19:00 2018 UTC-Sun Aug  5 23:19:00 2018 UTC (0.002 )  Time stamp start 1533511140060896400 end 1533511140059391020  Run 357620, LB 139, lumi 27.07
Event Veto ['NoiseBurst'], Sun Aug  5 23:19:00 2018 UTC-Sun Aug  5 23:19:00 2018 UTC (0.004 )  Time stamp start 1533511140067737070 end 1533511140063906630  Run 357620, LB 139, lumi 68.88
Event Veto ['NoiseBurst'], Sun Aug  5 23:19:00 2018 UTC-Sun Aug  5 23:19:00 2018 UTC (0.001 )  Time stamp start 1533511140145344675 end 1533511140144251855  Run 357620, LB 139, lumi 19.65
Event Veto ['NoiseBurst'], Sun Aug  5 23:19:00 2018 UTC-Sun Aug  5 23:19:00 2018 UTC (0.003 )  Time stamp start 1533511140148641065 end 1533511140145426035  Run 357620, LB 139, lumi 57.81
Event Veto ['NoiseBurst'], Sun Aug  5 23:20:32 2018 UTC-Sun Aug  5 23:20:32 2018 UTC (0.001 )  Time stamp start 1533511232932547350 end 1533511232931546500  Run 357620, LB 141, lumi 18.60
Event Veto ['MiniNoiseBurst'], Sun Aug  5 23:24:28 2018 UTC-Sun Aug  5 23:24:28 2018 UTC (0.001 )  Time stamp start 1533511468576889740 end 1533511468575889740  Run 357620, LB 144, lumi 18.43
Event Veto ['MiniNoiseBurst'], Sun Aug  5 23:26:43 2018 UTC-Sun Aug  5 23:26:43 2018 UTC (0.001 )  Time stamp start 1533511603258707095 end 1533511603257707095  Run 357620, LB 147, lumi 18.35
Event Veto ['MiniNoiseBurst'], Sun Aug  5 23:27:31 2018 UTC-Sun Aug  5 23:27:31 2018 UTC (0.001 )  Time stamp start 1533511651149352330 end 1533511651148352330  Run 357620, LB 148, lumi 18.32
Event Veto ['NoiseBurst'], Sun Aug  5 23:28:22 2018 UTC-Sun Aug  5 23:28:22 2018 UTC (0.001 )  Time stamp start 1533511702977039865 end 1533511702976039365  Run 357620, LB 149, lumi 18.36
Event Veto ['MiniNoiseBurst'], Sun Aug  5 23:34:00 2018 UTC-Sun Aug  5 23:34:00 2018 UTC (0.001 )  Time stamp start 1533512040341278915 end 1533512040340278915  Run 357620, LB 154, lumi 18.15
Event Veto ['NoiseBurst'], Sun Aug  5 23:36:35 2018 UTC-Sun Aug  5 23:36:35 2018 UTC (0.001 )  Time stamp start 1533512195294736535 end 1533512195293623085  Run 357620, LB 157, lumi 20.09
Event Veto ['MiniNoiseBurst'], Sun Aug  5 23:39:20 2018 UTC-Sun Aug  5 23:39:20 2018 UTC (0.001 )  Time stamp start 1533512360648189750 end 1533512360647189750  Run 357620, LB 160, lumi 17.94
Event Veto ['NoiseBurst'], Sun Aug  5 23:42:03 2018 UTC-Sun Aug  5 23:42:03 2018 UTC (0.001 )  Time stamp start 1533512523005918130 end 1533512523004917260  Run 357620, LB 163, lumi 17.85
Event Veto ['NoiseBurst'], Sun Aug  5 23:43:34 2018 UTC-Sun Aug  5 23:43:34 2018 UTC (0.001 )  Time stamp start 1533512614610635890 end 1533512614609635265  Run 357620, LB 165, lumi 17.85
Event Veto ['NoiseBurst'], Sun Aug  5 23:48:43 2018 UTC-Sun Aug  5 23:48:43 2018 UTC (0.001 )  Time stamp start 1533512923890488230 end 1533512923889487605  Run 357620, LB 170, lumi 17.69
Event Veto ['NoiseBurst'], Sun Aug  5 23:48:50 2018 UTC-Sun Aug  5 23:48:50 2018 UTC (0.001 )  Time stamp start 1533512930866999995 end 1533512930865999245  Run 357620, LB 170, lumi 17.69
Event Veto ['MiniNoiseBurst'], Sun Aug  5 23:51:08 2018 UTC-Sun Aug  5 23:51:08 2018 UTC (0.001 )  Time stamp start 1533513068294668575 end 1533513068293668575  Run 357620, LB 172, lumi 17.60
